taxon_concept_id,Rank,GEO_entity,ISO Code 2,Reference IDs,Designation,Reference
21568,SPECIES,COUNTRY,YE,13784,CITES_EU,
28380,SPECIES,COUNTRY,ZW,13784,CITES_EU,
19601,SPECIES,COUNTRY,ET,13784,CITES_EU,
26262,SPECIES,COUNTRY,ZA,13784,CITES_EU,
14645,SPECIES,COUNTRY,SO,13784,CITES_EU,
29527,SPECIES,COUNTRY,KE,13784,CITES_EU,
24265,SPECIES,COUNTRY,AO,13784,CITES_EU,
19415,SPECIES,COUNTRY,MW,13784,CITES_EU,
19415,SPECIES,COUNTRY,MZ,13784,CITES_EU,
19415,SPECIES,COUNTRY,ZA,13784,CITES_EU,
19415,SPECIES,COUNTRY,ZW,13784,CITES_EU,
18814,SPECIES,COUNTRY,NA,13784,CITES_EU,
19936,SPECIES,COUNTRY,NA,13784,CITES_EU,
26783,SPECIES,COUNTRY,SO,13784,CITES_EU,
23989,SPECIES,COUNTRY,SO,13784,CITES_EU,
26181,SPECIES,COUNTRY,ZA,13784,CITES_EU,
26548,SPECIES,COUNTRY,SO,13784,CITES_EU,
19339,SPECIES,COUNTRY,MW,13784,CITES_EU,
25746,SPECIES,COUNTRY,GH,13784,CITES_EU,
25746,SPECIES,COUNTRY,ML,13784,CITES_EU,
25746,SPECIES,COUNTRY,NG,13784,CITES_EU,
25746,SPECIES,COUNTRY,TG,13784,CITES_EU,
17832,SPECIES,COUNTRY,ET,13784,CITES_EU,
17832,SPECIES,COUNTRY,KE,13784,CITES_EU,
17211,SPECIES,COUNTRY,ET,13784,CITES_EU,
15889,SPECIES,COUNTRY,SA,13784,CITES_EU,
15889,SPECIES,COUNTRY,YE,13784,CITES_EU,
29002,SPECIES,COUNTRY,AO,13784,CITES_EU,
21120,SPECIES,COUNTRY,AO,13784,CITES_EU,
21120,SPECIES,COUNTRY,MZ,13784,CITES_EU,
21120,SPECIES,COUNTRY,TZ,13784,CITES_EU,
22034,SPECIES,COUNTRY,KE,13784,CITES_EU,
25098,SPECIES,COUNTRY,ET,13784,CITES_EU,
25098,SPECIES,COUNTRY,KE,13784,CITES_EU,
25098,SPECIES,COUNTRY,SO,13784,CITES_EU,
26145,SPECIES,COUNTRY,KE,13784,CITES_EU,
23029,SPECIES,COUNTRY,S1,13784,CITES_EU,
23029,SPECIES,COUNTRY,ZM,13784,CITES_EU,
17527,SPECIES,COUNTRY,SO,13784,CITES_EU,
27859,SPECIES,COUNTRY,BW,13784,CITES_EU,
27859,SPECIES,COUNTRY,MW,13784,CITES_EU,
27859,SPECIES,COUNTRY,MZ,13784,CITES_EU,
27859,SPECIES,COUNTRY,ZM,13784,CITES_EU,
27859,SPECIES,COUNTRY,ZW,13784,CITES_EU,
27519,SPECIES,COUNTRY,MZ,13784,CITES_EU,
14717,SPECIES,COUNTRY,KE,13784,CITES_EU,
14717,SPECIES,COUNTRY,TZ,13784,CITES_EU,
14160,SPECIES,COUNTRY,NA,13784,CITES_EU,
23318,SPECIES,COUNTRY,YE,13784,CITES_EU,
13949,SPECIES,COUNTRY,TZ,13784,CITES_EU,
16302,SPECIES,COUNTRY,LS,13784,CITES_EU,
17710,SPECIES,COUNTRY,KE,13784,CITES_EU,
22079,SPECIES,COUNTRY,ZM,13784,CITES_EU,
21410,SPECIES,COUNTRY,YE,13784,CITES_EU,
18361,SPECIES,COUNTRY,AO,13784,CITES_EU,
18361,SPECIES,COUNTRY,BW,13784,CITES_EU,
18361,SPECIES,COUNTRY,NA,13784,CITES_EU,
18361,SPECIES,COUNTRY,ZM,13784,CITES_EU,
23133,SPECIES,COUNTRY,KE,13784,CITES_EU,
24860,SPECIES,COUNTRY,YE,13784,CITES_EU,
23734,SPECIES,COUNTRY,NA,13784,CITES_EU,
25614,SPECIES,COUNTRY,SO,13784,CITES_EU,
25906,SPECIES,COUNTRY,BW,13784,CITES_EU,
25906,SPECIES,COUNTRY,ZW,13784,CITES_EU,
25011,SPECIES,COUNTRY,AO,13784,CITES_EU,
25308,SPECIES,COUNTRY,SO,13784,CITES_EU,
15706,SPECIES,COUNTRY,AO,13784,CITES_EU,
15323,SPECIES,COUNTRY,BW,13784,CITES_EU,
15323,SPECIES,COUNTRY,CD,13784,CITES_EU,
15323,SPECIES,COUNTRY,MW,13784,CITES_EU,
15323,SPECIES,COUNTRY,MZ,13784,CITES_EU,
15323,SPECIES,COUNTRY,ZA,13784,CITES_EU,
15323,SPECIES,COUNTRY,ZW,13784,CITES_EU,
16442,SPECIES,COUNTRY,SO,13784,CITES_EU,
14563,SPECIES,COUNTRY,AO,13784,CITES_EU,
15398,SPECIES,COUNTRY,ET,13784,CITES_EU,
14286,SPECIES,COUNTRY,MZ,13784,CITES_EU,
23515,SPECIES,COUNTRY,SO,13784,CITES_EU,
21673,SPECIES,COUNTRY,CD,13784,CITES_EU,
15787,SPECIES,COUNTRY,SO,13784,CITES_EU,
28730,SPECIES,COUNTRY,ZA,13784,CITES_EU,
19455,SPECIES,COUNTRY,ET,13784,CITES_EU,
23755,SPECIES,COUNTRY,SO,13784,CITES_EU,
17705,SPECIES,COUNTRY,KE,13784,CITES_EU,
26277,SPECIES,COUNTRY,YE,13784,CITES_EU,
23485,SPECIES,COUNTRY,KE,13784,CITES_EU,
20065,SPECIES,COUNTRY,AO,13784,CITES_EU,
20257,SPECIES,COUNTRY,AO,13784,CITES_EU,
20257,SPECIES,COUNTRY,BW,13784,CITES_EU,
20257,SPECIES,COUNTRY,MZ,13784,CITES_EU,
20257,SPECIES,COUNTRY,NA,13784,CITES_EU,
20257,SPECIES,COUNTRY,ZM,13784,CITES_EU,
20257,SPECIES,COUNTRY,ZW,13784,CITES_EU,
23020,SPECIES,COUNTRY,ZM,13784,CITES_EU,
22045,SPECIES,COUNTRY,S1,13784,CITES_EU,
26686,SPECIES,COUNTRY,SZ,13784,CITES_EU,
23782,SPECIES,COUNTRY,ET,13784,CITES_EU,
22130,SPECIES,COUNTRY,SO,13784,CITES_EU,
18718,SPECIES,COUNTRY,ET,13784,CITES_EU,
18718,SPECIES,COUNTRY,SO,13784,CITES_EU,
16785,SPECIES,COUNTRY,MZ,13784,CITES_EU,
28693,SPECIES,COUNTRY,AO,13784,CITES_EU,
14808,SPECIES,COUNTRY,AO,13784,CITES_EU,
14808,SPECIES,COUNTRY,ZM,13784,CITES_EU,
18766,SPECIES,COUNTRY,ET,13784,CITES_EU,
22590,SPECIES,COUNTRY,MZ,13784,CITES_EU,
21799,SPECIES,COUNTRY,CD,13784,CITES_EU,
21799,SPECIES,COUNTRY,MW,13784,CITES_EU,
21799,SPECIES,COUNTRY,TZ,13784,CITES_EU,
21799,SPECIES,COUNTRY,ZM,13784,CITES_EU,
21806,SPECIES,COUNTRY,NA,13784,CITES_EU,
26720,SPECIES,COUNTRY,AO,13784,CITES_EU,
18099,SPECIES,COUNTRY,SO,13784,CITES_EU,
15580,SPECIES,COUNTRY,YE,13784,CITES_EU,
20810,SPECIES,COUNTRY,ET,13784,CITES_EU,
24433,SPECIES,COUNTRY,MZ,13784,CITES_EU,
20419,SPECIES,COUNTRY,AO,13784,CITES_EU,
14318,SPECIES,COUNTRY,ET,13784,CITES_EU,
17339,SPECIES,COUNTRY,KE,13784,CITES_EU,
17339,SPECIES,COUNTRY,SO,13784,CITES_EU,
17339,SPECIES,COUNTRY,TZ,13784,CITES_EU,
15772,SPECIES,COUNTRY,SO,13784,CITES_EU,
18846,SPECIES,COUNTRY,MZ,13784,CITES_EU,
26039,SPECIES,COUNTRY,YE,13784,CITES_EU,
25713,SPECIES,COUNTRY,MZ,13784,CITES_EU,
19660,SPECIES,COUNTRY,AO,13784,CITES_EU,
21996,SPECIES,COUNTRY,YE,13784,CITES_EU,
22588,SPECIES,COUNTRY,ET,13784,CITES_EU,
21355,SPECIES,COUNTRY,ER,13784,CITES_EU,
28684,SPECIES,COUNTRY,NG,13784,CITES_EU,
20330,SPECIES,COUNTRY,SO,13784,CITES_EU,
21897,SPECIES,COUNTRY,AO,13784,CITES_EU,
22742,SPECIES,COUNTRY,CD,13784,CITES_EU,
14395,SPECIES,COUNTRY,YE,13784,CITES_EU,
24514,SPECIES,COUNTRY,ET,13784,CITES_EU,
13727,SPECIES,COUNTRY,S1,13784,CITES_EU,
17950,SPECIES,COUNTRY,NA,13784,CITES_EU,
24741,SPECIES,COUNTRY,ZM,13784,CITES_EU,
21371,SPECIES,COUNTRY,US,13798,CITES_EU,
24722,SPECIES,COUNTRY,ID,13798,CITES_EU,
14134,SPECIES,COUNTRY,BN,13798,CITES_EU,
28705,SPECIES,COUNTRY,PG,13798,CITES_EU,
28705,SPECIES,COUNTRY,BN,13798,CITES_EU,
28705,SPECIES,COUNTRY,SG,13798,CITES_EU,
