taxon_concept_id,Rank,GEO_entity,ISO Code 2,Designation,Reference
100395,SPECIES,COUNTRY,MG,CITES_EU,"Weigmann, S., Ebert, D. A., & Séret, B. 2021. Resolution of the <i>Acroteriobatus leucospilus</i> species complex, with a redescription of <i>A. leucospilus</i> (Norman, 1926) and descriptions of two new western Indian Ocean species of <i>Acroteriobatus</i> (Rhinopristiformes, Rhinobatidae). <i>Marine Biodiversity<i>, 51(4), 1-30"
100402,SPECIES,COUNTRY,YE,CITES_EU,"Weigmann, S., Ebert, D. A., & Séret, B. 2021. Resolution of the <i>Acroteriobatus leucospilus</i> species complex, with a redescription of <i>A. leucospilus</i> (Norman, 1926) and descriptions of two new western Indian Ocean species of <i>Acroteriobatus</i> (Rhinopristiformes, Rhinobatidae). <i>Marine Biodiversity<i>, 51(4), 1-30"
100405,SPECIES,COUNTRY,MX,CITES_EU,"Rutledge, K. M. 2019. A new guitarfish of the genus <i>Pseudobatos</i> (Batoidea: Rhinobatidae) with key to the guitarfishes of the Gulf of California. <i>Copeia<i>, 107: 451-463"
100416,SPECIES,COUNTRY,ZA,CITES_EU,"Ebert, D. A., & Gon, O. 2017. <i>Rhinobatos austini</i> n. sp., a new species of guitarfish (Rhinopristiformes: Rhinobatidae) from the southwestern Indian Ocean. <i>Zootaxa<i>, 4276(2), 204-214."
100416,SPECIES,COUNTRY,MZ,CITES_EU,"Ebert, D. A., & Gon, O. 2017. <i>Rhinobatos austini</i> n. sp., a new species of guitarfish (Rhinopristiformes: Rhinobatidae) from the southwestern Indian Ocean. <i>Zootaxa<i>, 4276(2), 204-214."
100423,SPECIES,COUNTRY,PG,CITES_EU,"White, W.T., Last, P.R. and Naylor, G.J.P. 2016. <i>Rhinobatos manai</i> sp. nov., a new species of guitarfish (Rhinopristiformes: Rhinobatidae) from New Ireland, Papua New Guinea. <i>Zootaxa</i> , 4175(6), 588-600"
100427,SPECIES,COUNTRY,MM,CITES_EU,"Last, P.R., Séret, B., & Naylor, G.J.P. 2019. Description of <i>Rhinobatos ranongensis</i> sp. nov. (Rhinopristiformes: Rhinobatidae) from the Andaman Sea and Bay of Bengal with a review of its northern 
Indian Ocean congeners. <i>Zootaxa</i>, 4576(2), 257-287"
100648,SPECIES,COUNTRY,IN,CITES_EU,"Agarwal, I., and Karanth, K.P. 2015. A phylogeny of the only ground-dwelling radiation of <i>Cyrtodactylus</i> (Squamata, Gekkonidae): diversification of <i>Geckoella</i> across peninsular India and Sri Lanka. <i>Molecular Phylogenetics and Evolution</i>, 82: 193-199."
100253,SPECIES,COUNTRY,MR,CITES_EU,"Sow, A.S., Martínez-Freiría, F., Crochet, P.A., Geniez, P., Ineich, I., Dieng, H., Fahd, S. & Brito, J. C. 2014. Atlas of the distribution of reptiles in the Parc National du Banc dArguin, Mauritania. <i>Basic and Applied Herpetology</i>, 28: 99-111."
100253,SPECIES,COUNTRY,EH,CITES_EU,"Brito, J. C. 2003. Observations of amphibians and reptiles from North and West AfricaMorocco, Mauritania and Senegal. <i>Boletín de la Asociación Herpetológica Española</i>, 14(1-2): 2-6."
100253,SPECIES,COUNTRY,MA,CITES_EU,"Harris, D. J., Perera, A., Barata, M., Tarroso, P., & Salvi, D. 2010. New distribution notes for terrestrial herpetofauna from Morocco. <i>North-Western Journal of Zoology</i>, 6(2): 309-315."
100302,SPECIES,COUNTRY,US,CITES_EU,"Jezkova, T., Jaeger, J.R., Oláh?Hemmings, V., Jones, K.B., Lara?Resendiz, R.A., Mulcahy, D.G., & Riddle, B.R. 2016. Range and niche shifts in response to past climate change in the desert horned lizard <i>Phrynosoma platyrhinos</i>. <i>Ecography</i>, 39(5): 437-448."
100302,SPECIES,COUNTRY,MX,CITES_EU,"Jezkova, T., Jaeger, J.R., Oláh?Hemmings, V., Jones, K.B., Lara?Resendiz, R.A., Mulcahy, D.G., & Riddle, B.R. 2016. Range and niche shifts in response to past climate change in the desert horned lizard <i>Phrynosoma platyrhinos</i>. <i>Ecography</i>, 39(5): 437-448."
