Legacy_ID,Designation,LnmShortDesc,Date valid from,Event Type,Basis for Suspension,LnmLongDesc,LnmURL
1,CITES,CITES Notif. No. 283,15/03/1984,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 283,http://www.cites.org/common/notif/1984/283.pdf
2,CITES,CITES Notif. No. 629,08/04/1991,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 629,http://www.cites.org/common/notif/1991/629.pdf
3,CITES,CITES Notif. No. 662,16/01/1992,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 662,http://www.cites.org/common/notif/1992/662.pdf
4,CITES,CITES Notif. No. 681,24/08/1992,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 681,http://www.cites.org/eng/notif/1992/681.shtml
5,CITES,CITES Notif. No. 707,21/12/1992,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 707,http://www.cites.org/eng/notif/1992/707.shtml
6,CITES,CITES Notif. No. 1999/39,31/05/1999,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 1999/39,http://www.cites.org/eng/notif/1999/039.shtml
7,CITES,CITES Notif. No. 2001/052,10/08/2001,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 2001/052,http://www.cites.org/eng/notif/2001/052.shtml
8,CITES,CITES Notif. No. 2004/025,30/04/2004,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 2004/025,http://www.cites.org/eng/notif/2004/025.pdf
9,CITES,CITES Notif. No. 2004/055,30/07/2004,CITES Suspension Notification,CITES - National legislation,CITES Notif. No. 2004/055,http://www.cites.org/eng/notif/2004/055.pdf
10,CITES,CITES Notif. No. 2005/054,19/09/2005,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 2005/054,http://www.cites.org/eng/notif/2005/054.pdf
11,CITES,CITES Notif. No. 2006/006,16/01/2006,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 2006/006,http://www.cites.org/eng/notif/2006/006.pdf
12,CITES,CITES Notif. No. 2006/074,14/12/2006,CITES Suspension Notification,CITES - Annual reports,CITES Notif. No. 2006/074,http://www.cites.org/eng/notif/2006/E074.pdf
13,CITES,CITES Notif. No. 2010/015,17/06/2010,CITES Suspension Notification,CITES - Monitoring of ranching operations,CITES Notif. No. 2010/015,http://www.cites.org/eng/notif/2010/E015.pdf
14,CITES,CITES Notif. No. 2010/038,29/11/2010,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 2010/038,http://www.cites.org/eng/notif/2010/E038.pdf
15,CITES,CITES Notif. No. 2011/009,19/01/2011,CITES Suspension Notification,National trade ban (communicated by MA),CITES Notif. No. 2011/009,http://www.cites.org/eng/notif/2011/E009.pdf
16,CITES,CITES Notif. No. 2011/010,19/01/2011,CITES Suspension Notification,CITES - National legislation,CITES Notif. No. 2011/010,http://www.cites.org/eng/notif/2011/E010.pdf
17,CITES,CITES Notif. No. 2012/059,25/09/2012,CITES Suspension Notification,CITES - Significant trade,CITES Notif. No. 2012/059,http://www.cites.org/eng/notif/2012/E059.pdf
18,CITES,CITES Notif. No. 2013/013,02/05/2013,CITES Suspension Notification,CITES - Significant trade,CITES Notif. No. 2013/013,http://www.cites.org/eng/notif/2013/E-Notif-2013-013.pdf
19,CITES,CITES Notif. No. 2013/017,16/05/2013,CITES Suspension Notification,CITES - Compliance and enforcement,CITES Notif. No. 2013/017,http://www.cites.org/eng/notif/2013/E-Notif-2013-017.pdf
20,CITES,CITES Notif. No. 2013/018,17/05/2013,CITES Suspension Notification,CITES - Annual reports,CITES Notif. No. 2013/018,http://www.cites.org/eng/notif/2013/E-Notif-2013-018.pdf
21,CITES,CITES Notif. No. 2013/019,17/05/2013,CITES Suspension Notification,CITES - Annual reports,CITES Notif. No. 2013/019,http://www.cites.org/eng/notif/2013/E-Notif-2013-019.pdf
22,CITES,CITES Notif. No. 2013/020,17/05/2013,CITES Suspension Notification,CITES - Annual reports,CITES Notif. No. 2013/020,http://www.cites.org/eng/notif/2013/E-Notif-2013-020.pdf
23,CITES,Pre-CoP1,,CITES CoP,,,
24,CITES,CoP1,,CITES CoP,,,
25,CITES,CoP2,,CITES CoP,,,
26,CITES,CoP3,,CITES CoP,,,
27,CITES,CoP4,,CITES CoP,,,
28,CITES,CoP5,,CITES CoP,,,
29,CITES,CoP6,,CITES CoP,,,
30,CITES,CoP7,,CITES CoP,,,
31,CITES,CoP8,,CITES CoP,,,
32,CITES,CoP9,,CITES CoP,,,
33,CITES,CoP10,,CITES CoP,,,
34,CITES,CoP11,,CITES CoP,,,
35,CITES,CoP12,,CITES CoP,,,
36,CITES,CoP13,,CITES CoP,,,
37,CITES,CoP14,,CITES CoP,,,
38,CITES,CoP15,,CITES CoP,,,
39,CITES,CoP16,,CITES CoP,,,
2,EU,No 3626/82,31/12/1982,Basic and amendments,,Council Regulation (EEC) No 3626/82 of 3 December 1982,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CELEX:31982R3626:EN:HTML
8,EU,No 338/97,01/06/1997,Basic and amendments,,Council Reg. (EC) No 338/97 of 9 December 1996 ,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=CONSLEG:1997R0338:20080411:EN:PDF
29,EU,No 2724/2000,18/12/2000,Basic and amendments,,Commission Reg. (EC) No 2724/2000 of 30 November 2000,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2000:320:0001:0060:EN:PDF
31,EU,No 2087/2001,29/10/2001,Suspension,,Commission Reg. (EC) No 2087/2001 of 24 October 2001,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2001:282:0023:0038:EN:PDF
32,EU,No 1579/2001,05/08/2001,Basic and amendments,,Commission Reg. (EC) No 1579/2001 of 1 August 2001,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2001:209:0014:0015:EN:PDF
33,EU,No 191/2001,03/02/2001,Suspension,,Commission Reg. (EC) No 191/2001 of 30 January 2001,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2001:029:0012:0026:EN:PDF
34,EU,No 1988/2000,24/09/2000,Suspension,,Commission Reg. (EC) No 1988/2000 of 20 September 2001,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2000:237:0025:0038:EN:PDF
35,EU,No 2476/2001,21/12/2001,Basic and amendments,,Commission Reg. (EC) No 2476/2001 of 17 December 2001,http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2001:334:0003:0004:EN:PDF
