"Event No","Event","Hash No","For Display","Annotations_English","Annotations_Spanish","Annotations_French"
23,"Pre-CoP1","#1","Pre-CoP1 #1","Designates roots","Designa la raíz","Sert à désigner les racines"
23,"Pre-CoP1","#2","Pre-CoP1 #2","Designates timber","Designa la madera","Sert à désigner le bois"
23,"Pre-CoP1","#3","Pre-CoP1 #3","Designates trunks","Designa el tronco","Sert à désigner les troncs"
24,"CoP1",">1","CoP1 >1","Designates roots","Designa la raíz","Sert à désigner les racines"
24,"CoP1",">2","CoP1 >2","Designates timber","Designa la madera","Sert à désigner le bois"
24,"CoP1",">3","CoP1 >3","Designates trunks","Designa el tronco","Sert à désigner les troncs"
25,"CoP2",">1","CoP2 >1","Designates roots","Designa la raíz","Désigne les racines"
25,"CoP2",">2","CoP2 >2","Designates timber","Designa la madera","Désigne le bois"
25,"CoP2",">3","CoP2 >3","Designates trunks","Designa el tronco","Désigne les troncs"
26,"CoP3","#1","CoP3 #1","Designates roots","Designa la raíz","Désigne les racines"
26,"CoP3","#2","CoP3 #2","Designates timber","Designa la madera","Désigne le bois"
26,"CoP3","#3","CoP3 #3","Designates trunks","Designa el tronco","Désigne les troncs"
27,"CoP4","#1","CoP4 #1","Designates roots","Todas las partes o derivados están exentos de las disposiciones de la Convención, excepto la raíz","Sert à désigner les racines"
27,"CoP4","#2","CoP4 #2","Designates timber","Todas las partes o derivados están exentos de las disposiciones de la Convención, excepto la Madera","Sert à désigner le bois"
27,"CoP4","#3","CoP4 #3","Designates trunks","Todas las partes o derivados están exentos de las disposiciones de la Convención, excepto el tronco","Sert à désigner les troncs"
28,"CoP5","#1","CoP5 #1","Designates all parts and derivatives, except:<p>
a) seeds, spores and pollen (including pollinia); and<p>
b) tissue cultures and flasked seedling cultures<p>","Designa todas las partes y derivados, excepto:<p>a) las semillas, las esporas y el polen (incluso las polinias); y<p>b) los cultivos de tejido y los cultivos de plántulas en frascos","Sert à désigner toutes les parties et tous les produits, sauf: <p>a) les graines, les spores et le pollen (y compris les pollinies); et <p>b) les cultures de tissus et les cultures de plantules en flacons"
28,"CoP5","#2","CoP5 #2","Designates roots and readily recognizable parts thereof","Designa las raíces y a sus partes fácilmente identificables","Sert à désigner les racines et leurs parties facilement identifiables"
28,"CoP5","#3","CoP5 #3","Designates all parts and derivatives, except:<p>
a) seeds, spores and pollen (including pollinia);<p>
b) tissue cultures and flasked seedling cultures;<p>
c) fruits and parts and derivatives thereof of naturalized or artificially propagated plants; and<p>
d) separate stem joints (pads) and parts and derivatives thereof of naturalized or artificially propagated <i>Opuntia</i> subgenus <i>Opuntia</i> spp.<p>","Designa todas las partes y derivados, excepto:<p>a) las semillas, les esporas y el polen (incluso las polinias);<p>b) los cultivos de tejido y los cultivos de plántulas en frascos;<p>c) los frutos, y sus partes y derivados, de ejemplares aclimatados o reproducidos artificialmente; y<p>d) los elementos del tallo (ramificaciones), y sus partes y derivados, de <i>Opuntia</i> spp. del subgénero<i> Opuntia aclimatadas</i> o reproducidas artificialmente","Sert à désigner toutes les parties et tous les produits, sauf:<p>a) les graines, les spores et le pollen (y compris les pollinies);<p>b) les cultures de tissus et les cultures de plantules en flacons; et<p>c) les fruits, et leurs parties et produits, des plantes acclimatées ou reproduites artificiellement; et<p>d) les éléments de troncs (raquettes), et leurs parties et produits, d’<i>Opuntia</i> spp. du sous-genre <i>Opuntia</i> acclimatées ou reproduites artificiellement"
