Hash No,Event No,For Display,Text
#1,8,#1 No 338/97,"Designates all parts and derivatives, except:<p>
(a) seeds, spores and pollen (including pollinia);<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers."
#2,8,#2 No 338/97,"Designates all parts and derivations, except:<p>
(a) seeds and pollen;<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers, and<p>
(c) chemical derivations."
#3,8,#3 No 338/97,Designates roots and readily recognizable parts thereof.
#4,8,#4 No 338/97,"Designates all parts and derivatives, except:<p>
(a) seeds and pollen;<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
(c) fruits and parts and derivatives thereof of naturalised or artificially propagated plants; and<p>
(e) separate stem joints (pads) and parts and derivatives therefore of naturalised or artifically propagated plants of the genus Opuntia subgenus Opuntia.<p>"
#5,8,#5 No 338/97,"Designates saw-logs, sawn wood and veneers."
#6,8,#6 No 338/97,"Designates logs, wood-chips and unprocessed broken material."
#7,8,#7 No 338/97,"Designates all parts and derivatives, except:<p>
(a) seeds and pollen (including pollinia);<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
(c) cut flowers of artificially propagated plants; and<p>
(d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla."
#8,8,#8 No 338/97,"Designates all parts and derivatives, except:<p>
(a) seeds and pollen;<p>
(b) seedling or tissue cultures obtained in vitro; in solid or liquid media, transported in sterile containers; and<p>
(c) finished pharmaceutical products."
#1,83,#1 No 938/97,"Any whole or substantially whole skins, raw or tanned."
#2,83,#2 No 938/97,Any feathers or any skin or other part with feathers on it.
#3,83,#3 No 938/97,"Dried and fresh plants, including; leaves, roots/rootstock, stems, seeds/spores, bark and fruits."
#1,99,#1 No 2307/97,"Designates all parts and derivatives, except:<p>
(a) seeds, spores and pollen (including pollinia);<p>
(b) seedling or tissue cultures obtained in vitro, 10 solid or liquid media, transported in sterile containers, and<p>
(c) cut flowers of artificially propagated plants."
#2,99,#2 No 2307/97,"Designates all parts and derivations, except:<p>
(a) seeds and pollen;<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
(c) cut flowers of artificially propagated plants; and<p>
(d) chemical derivations."
#3,99,#3 No 2307/97,"Designates whole and sliced roots and parts of roots, excluding manufactured parts or derivatives such as powders, pills, extracts, tonics, teas and confectionery."
#4,99,#4 No 2307/97,"Designates all parts and derivatives, except:<p>
(a) seeds, except those from Mexican cacti originating in Mexico, and pollen;<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
(c) cut flowers of artificially propagated plants;<p>
(d) fruits and parts and derivatives thereof of naturalised or artificially propagated plants; and<p>
(e) separate stem joints (pads) and parts and derivatives therefore of naturalised or artifically propagated plants of the genus Opuntia subgenus Opuntia."
#5,99,#5 No 2307/97,"Designates logs, sawn wood and veneer sheets."
#6,99,#6 No 2307/97,"Designates logs, wood-chips and unprocessed broken material."
#7,99,#7 No 2307/97,"Designates all parts and derivatives, except:<p>
(a) seeds and pollen (including pollinia);<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
(c) cut flowers of artificially propagated plants; and<p>
(d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla."
#8,99,#8 No 2307/97,"Designates all parts and derivatives, except:<p>
(a) seeds and pollen;<p>
(b) seedling or tissue cultures obtained in vitro; in solid or liquid media, transported in sterile containers;<p>
(c) cut flowers of artificially propagated plants; and<p>
(d) finished pharmaceutical products."
#1,29,#1 No 2724/2000,"designates all parts and derivatives, except:<p>
(a) seeds, spores and pollen (including pollinia);<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers, and<p>
(c) cut flowers of artificially propagated plants."
#2,29,#2 No 2724/2000,"designates all parts and derivations, except:<p>
(a) seeds and pollen;<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
(c) cut flowers of artificially propagated plants; and<p>
(d) chemical derivatives and finished pharmaceutical products."
#3,29,#3 No 2724/2000,"Designates whole and sliced roots and parts of roots, excluding manufactured parts or derivatives such as powders, pills, extracts, tonics, teas and confectionery."
#4,29,#4 No 2724/2000,"Designates all parts and derivatives, except:<p>
(a) seeds, except those from Mexican cacti originating in Mexico, and pollen;<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
(c) cut flowers of artificially propagated plants;<p>
(d) fruits and parts and derivatives thereof of naturalised or artificially propagated plants; and<p>
(e) separate stem joints (pads) and parts and derivatives therefore of naturalised or artifically propagated plants of the genus Opuntia subgenus Opuntia."
#5,29,#5 No 2724/2000,"Designates logs, sawn wood and veneer sheets."
#6,29,#6 No 2724/2000,"Designates logs, wood-chips and unprocessed broken material."
#7,29,#7 No 2724/2000,"Designates all parts and derivatives, except:<p>
(a) seeds and pollen (including pollinia);<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
(c) cut flowers of artificially propagated plants; and<p>
(d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla."
#1,82,#1 No 1497/2003,"Designates all parts and derivatives, except:<p>
(a) seeds, spores and pollen (including pollinia);<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers, and<p>
(c) cut flowers of artificially propagated plants."
#2,82,#2 No 1497/2003,"Designates all parts and derivations, except:<p>
(a) seeds and pollen;<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
(c) cut flowers of artificially propagated plants; and<p>
(d) chemical derivatives and finished pharmaceutical products."
#3,82,#3 No 1497/2003,"Designates whole and sliced roots and parts of roots, excluding manufactured parts or derivatives such as powders, pills, extracts, tonics, teas and confectionery."
#4,82,#4 No 1497/2003,"Designates all parts and derivatives, except:<p>
(a) seeds, except those from Mexican cacti originating in Mexico, and pollen;<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
(c) cut flowers of artificially propagated plants;<p>
(d) fruits and parts and derivatives thereof of naturalised or artificially propagated plants; and<p>
(e) separate stem joints (pads) and parts and derivatives therefore of naturalised or artifically propagated plants of the genus Opuntia subgenus Opuntia."
#5,82,#5 No 1497/2003,"Designates logs, sawn wood and veneer sheets."
#6,82,#6 No 1497/2003,"Designates logs, sawn wood, veneer sheets and plywood."
#7,82,#7 No 1497/2003,"Designates logs, wood-chips and unprocessed broken material."
#8,82,#8 No 1497/2003,"Designates all parts and derivatives, except:<p>
(a) seeds and pollen (including pollinia);<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
(c) cut flowers of artificially propagated plants; and<p>
(d) fruits and parts and derivatives thereof of artificially propagated plants of the genus Vanilla."
#1,98,#1 No 1332/2005,"Designates all parts and derivatives, except:<p>
(a) seeds, spores and pollen (including pollinia);<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers, and<p>
(c) cut flowers of artificially propagated plants."
#2,98,#2 No 1332/2005,"Designates all parts and derivations, except:<p>
(a) seeds and pollen;<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
(c) cut flowers of artificially propagated plants; and<p>
(d) chemical derivatives and finished pharmaceutical products."
#3,98,#3 No 1332/2005,"Designates whole and sliced roots and parts of roots, excluding manufactured parts or derivatives such as powders, pills, extracts, tonics, teas and confectionery."
#4,98,#4 No 1332/2005,"Designates all parts and derivatives, except:<p>
(a) seeds, except those from Mexican cacti originating in Mexico, and pollen;<p>
(b) seedling or tissue cultures obtained in vitro, in solid or liquid media, transported in sterile containers;<p>
(c) cut flowers of artificially propagated plants;<p>
(d) fruits and parts and derivatives thereof of naturalised or artificially propagated plants; and<p>
(e) separate stem joints (pads) and parts and derivatives therefore of naturalised or artifically propagated plants of the genus Opuntia subgenus Opuntia."
#5,98,#5 No 1332/2005,"Designates logs, sawn wood and veneer sheets."
