Scientific name,ID,Parent name,ParentID,Status
Okapia johnstoni,104810,Okapia,104809,A
Choloepus didactylus,104811,Choloepus,679,A
Ceratogymna atrata,105075,Ceratogymna,104812,A
Ceratogymna elata,105076,Ceratogymna,104812,A
Bycanistes brevis,105077,Bycanistes,104813,A
Bycanistes bucinator,105078,Bycanistes,104813,A
Bycanistes cylindricus,105079,Bycanistes,104813,A
Bycanistes fistulator,105080,Bycanistes,104813,A
Bycanistes subcylindricus,105081,Bycanistes,104813,A
Sporophila angolensis,104815,Sporophila,2027,A
Sporophila atrirostris,104816,Sporophila,2027,A
Sporophila crassirostris,104817,Sporophila,2027,A
Sporophila funerea,104818,Sporophila,2027,A
Sporophila maximiliani,104814,Sporophila,2027,A
Sporophila nuttingi,104819,Sporophila,2027,A
Caribicus warreni,104821,Caribicus,104820,A
Bitis harenna,104822,Bitis,67972,A
Bitis parviocula,104823,Bitis,67972,A
Pelophylax epeiroticus,104827,Pelophylax,54285,A
Pelophylax lessonae,104829,Pelophylax,54285,A
Pelophylax ridibundus,104828,Pelophylax,54285,A
Galeorhinus galeus,104832,Galeorhinus,104831,A
Mustelus albipinnis,105030,Mustelus,104833,A
Mustelus andamanensis,105031,Mustelus,104833,A
Mustelus antarcticus,105032,Mustelus,104833,A
Mustelus asterias,105033,Mustelus,104833,A
Mustelus californicus,105034,Mustelus,104833,A
Mustelus canis,105035,Mustelus,104833,A
Mustelus dorsalis,105036,Mustelus,104833,A
Mustelus fasciatus,105037,Mustelus,104833,A
Mustelus griseus,105038,Mustelus,104833,A
Mustelus henlei,105039,Mustelus,104833,A
Mustelus higmani,105040,Mustelus,104833,A
Mustelus lenticulatus,105041,Mustelus,104833,A
Mustelus lunulatus,105042,Mustelus,104833,A
Mustelus manazo,105043,Mustelus,104833,A
Mustelus mento,105044,Mustelus,104833,A
Mustelus minicanis,105045,Mustelus,104833,A
Mustelus mosis,105046,Mustelus,104833,A
Mustelus mustelus,104835,Mustelus,104833,A
Mustelus norrisi,105047,Mustelus,104833,A
Mustelus palumbes,105048,Mustelus,104833,A
Mustelus punctulatus,105049,Mustelus,104833,A
Mustelus ravidus,105050,Mustelus,104833,A
Mustelus schmitti,104834,Mustelus,104833,A
Mustelus sinusmexicanus,105051,Mustelus,104833,A
Mustelus stevensi,105052,Mustelus,104833,A
Mustelus walkeri,105053,Mustelus,104833,A
Mustelus whitneyi,105054,Mustelus,104833,A
Mustelus widodoi,105055,Mustelus,104833,A
Glaucostegus younholeei,104836,Glaucostegus,98247,A
Rhynchobatus mononoke,104837,Rhynchobatus,98255,A
Centrophorus atromarginatus,105058,Centrophorus,105056,A
Centrophorus granulosus,105059,Centrophorus,105056,A
Centrophorus harrissoni,105060,Centrophorus,105056,A
Centrophorus isodon,105061,Centrophorus,105056,A
Centrophorus lesliei,105062,Centrophorus,105056,A
Centrophorus longipinnis,105063,Centrophorus,105056,A
Centrophorus lusitanicus,105064,Centrophorus,105056,A
Centrophorus moluccensis,105065,Centrophorus,105056,A
Centrophorus seychellorum,105066,Centrophorus,105056,A
Centrophorus squamosus,105067,Centrophorus,105056,A
Centrophorus tessellatus,105068,Centrophorus,105056,A
Centrophorus uyato,105069,Centrophorus,105056,A
Centrophorus westraliensis,105070,Centrophorus,105056,A
Deania calceus,105072,Deania,105071,A
Deania profundorum,105073,Deania,105071,A
Deania quadrispinosa,105074,Deania,105071,A
Holothuria lessoni,104847,Holothuria,98280,A
Grammostola rosea,104859,Grammostola,104852,A
Jubaea chilensis,104873,Jubaea,104872,A
Beaucarnea glassiana,104875,Beaucarnea,67990,A
Commiphora wightii,104877,Commiphora,104876,A
Aloe jeppeae,105090,Aloe,13461,A
Aloe subspicata,105091,Aloe,13461,A
Aloe welwitschii,105092,Aloe,13461,A
Gallotia atlantica,104998,Gallotia,2182,A
Gallotia bravoana,104999,Gallotia,2182,A
Gallotia caesaris,105000,Gallotia,2182,A
Gallotia galloti,105001,Gallotia,2182,A
Gallotia intermedia,105002,Gallotia,2182,A
Gallotia stehlini,105003,Gallotia,2182,A
Uroplatus fangorn,104948,Uroplatus,756,A
Uroplatus fivehy,104949,Uroplatus,756,A
Chilabothrus argentum,104950,Chilabothrus,30085,A
Hippocampus nalu,104952,Hippocampus,780,A
Galanthus bursanus,104960,Galanthus,13395,A
Galanthus lebedevae,104961,Galanthus,13395,A
Galanthus panjutinii,104962,Galanthus,13395,A
Galanthus samothracicus,104963,Galanthus,13395,A
Galanthus trojanus,104964,Galanthus,13395,A
Sternbergia mishustinii,104965,Sternbergia,13098,A
Beaucarnea olsonii,105026,Beaucarnea,67990,A
Rhodiola bouffordii,104969,Rhodiola,99655,A
Rhodiola daochengensis,104970,Rhodiola,99655,A
Rhodiola feiyongii,104971,Rhodiola,99655,A
Rhodiola fushuhsiae,104972,Rhodiola,99655,A
Rhodiola kunlunica,104973,Rhodiola,99655,A
Rhodiola multibracteata,104974,Rhodiola,99655,A
Rhodiola namlingensis,104975,Rhodiola,99655,A
Rhodiola saxicola,104977,Rhodiola,99655,A
Rhodiola sedoides,104978,Rhodiola,99655,A
Rhodiola tricarpa,104979,Rhodiola,99655,A
Rhodiola wangii,104980,Rhodiola,99655,A
Rhodiola wenchuanensis,104981,Rhodiola,99655,A
Rhodiola yushuensis,104982,Rhodiola,99655,A
Rhodiola lievenii,105027,Rhodiola,99655,A
Rhodiola renii,105028,Rhodiola,99655,A
Diospyros baronii,105148,Diospyros,12881,A
Dalbergia calcarea,104993,Dalbergia,12737,A
Dipteryx hermetopascoaliana,104994,Dipteryx,13170,A
Aloe hankeyi,105149,Aloe,13461,A
Aloe kaysei,105150,Aloe,13461,A
Aloe nderiana,105151,Aloe,13461,A
Aloe stolonifera,105152,Aloe,13461,A
Aloe uigensis,105153,Aloe,13461,A
Aloe nyikaensis,105154,Aloe,13461,A
Aloe trinervis,105155,Aloe,13461,A
Anacampseros decapitata,105156,Anacampseros,12558,A
Anacampseros gariepensis,105157,Anacampseros,12558,A
Anacampseros grisea,105158,Anacampseros,12558,A
Anacampseros harveyi,105168,Anacampseros,12558,A
Anacampseros hillii,105159,Anacampseros,12558,A
Anacampseros lavbleckiana,105160,Anacampseros,12558,A
Anacampseros paradoxa,105162,Anacampseros,12558,A
Anacampseros pisina,105163,Anacampseros,12558,A
Anacampseros quinarioides,105164,Anacampseros,12558,A
Anacampseros septentrionalis,105165,Anacampseros,12558,A
Anacampseros specksii,105166,Anacampseros,12558,A
Anacampseros variabilis,105167,Anacampseros,12558,A
Cyclamen brulloi,105169,Cyclamen,13292,A
Aquilaria decemcostata,105170,Aquilaria,13257,A
Aquilaria rugosa,105171,Aquilaria,13257,A
