Scientific name,Rank,RecID,ParentRank,ParentID,Status,Species Author,Notes,Designation,AcceptedRank,AcceptedID
dorcas,SPECIES,,GENUS,2193,S,"Linnaeus, 1758",,CITES_EU,SPECIES,5673
kevella,SPECIES,,GENUS,1133,S,"(Pallas, 1766)",,CITES_EU,SPECIES,5673
corinna,SPECIES,,GENUS,1133,S,"(Pallas, 1766)",,CITES_EU,SPECIES,5673
dorcas,SPECIES,,GENUS,1133,S,"(Boddaert, 1785)",,CITES_EU,SPECIES,5673
isabella,SPECIES,,GENUS,1802,S,"J.E. Gray, 1846",,CITES_EU,SPECIES,5673
littoralis,SPECIES,,GENUS,1802,S,"Blaine, 1913",,CITES_EU,SPECIES,5673
giraffa,SPECIES,,GENUS,98185,S,"(von Schreber, 1784)",,CITES_EU,SPECIES,98186
tippelskirchi,SPECIES,,GENUS,98185,S,"Matschie, 1898",,CITES_EU,SPECIES,98186
reticulata,SPECIES,,GENUS,98185,S,"de Winton, 1899",,CITES_EU,SPECIES,98186
johnstoni,SPECIES,,GENUS,732,S,"P.L. Sclater, 1901",,CITES_EU,SPECIES,104810
antiquorum,SPECIES,,GENUS,926,S,"(Temminck, 1820)",,CITES_EU,SPECIES,10154
bilkiewiczi,SPECIES,,GENUS,926,S,"Satunin, 1905",,CITES_EU,SPECIES,10154
bokcharensis,SPECIES,,GENUS,926,S,"Satunin, 1905",,CITES_EU,SPECIES,10154
dubbah,SPECIES,,GENUS,926,S,"Meyer, 1793",,CITES_EU,SPECIES,10154
dubia,SPECIES,,GENUS,926,S,"Schinz, 1821",,CITES_EU,SPECIES,10154
fasciata,SPECIES,,GENUS,926,S,"Thunberg, 1820",,CITES_EU,SPECIES,10154
hienomelas,SPECIES,,GENUS,926,S,"Matschie, 1900",,CITES_EU,SPECIES,10154
hyaenomelas,SPECIES,,GENUS,926,S,"(Bruce In Desmarest, 1820)",,CITES_EU,SPECIES,10154
orientalis,SPECIES,,GENUS,926,S,"Tiedemann, 1808",,CITES_EU,SPECIES,10154
schillingsi,SPECIES,,GENUS,926,S,"Matschie, 1900",,CITES_EU,SPECIES,10154
striata,SPECIES,,GENUS,926,S,"Zimmermann, 1777",,CITES_EU,SPECIES,10154
suilla,SPECIES,,GENUS,926,S,"Filippi, 1853",,CITES_EU,SPECIES,10154
syriaca,SPECIES,,GENUS,926,S,"Matschie, 1900",,CITES_EU,SPECIES,10154
virgata,SPECIES,,GENUS,926,S,"Ogilby, 1840",,CITES_EU,SPECIES,10154
vulgaris,SPECIES,,GENUS,926,S,"Desmarest, 1820",,CITES_EU,SPECIES,10154
hyaena,SPECIES,,GENUS,2036,S,"Linnaeus, 1758",,CITES_EU,SPECIES,10154
agustinus,SPECIES,,GENUS,679,S,"Allen, 1913",,CITES_EU,SPECIES,11129
andinus,SPECIES,,GENUS,679,S,"Allen, 1913",,CITES_EU,SPECIES,11129
capitalis,SPECIES,,GENUS,679,S,"Allen, 1913",,CITES_EU,SPECIES,11129
juruanus,SPECIES,,GENUS,679,S,"Lönnberg, 1942",,CITES_EU,SPECIES,11129
brasiliensis,SPECIES,,GENUS,679,S,"Fitzinger, 1871",,CITES_EU,SPECIES,104811
curi,SPECIES,,GENUS,2317,S,"(Link, 1795)",,CITES_EU,SPECIES,104811
florenciae,SPECIES,,GENUS,679,S,"(J.A. Allen, 1913)",,CITES_EU,SPECIES,104811
guianensis,SPECIES,,GENUS,679,S,"(Fitzinger, 1871)",,CITES_EU,SPECIES,104811
kouri,SPECIES,,GENUS,2317,S,"(Daudin, 1802)",,CITES_EU,SPECIES,104811
napensis,SPECIES,,GENUS,679,S,"Lönnberg, 1922",,CITES_EU,SPECIES,104811
unau,SPECIES,,GENUS,2317,S,"(Link, 1795)",,CITES_EU,SPECIES,104811
didactylus,SPECIES,,GENUS,2317,S,"Linnaeus, 1758",,CITES_EU,SPECIES,104811
atratus,SPECIES,,GENUS,1753,S,"Temminck, 1835",,CITES_EU,SPECIES,105075
elatus,SPECIES,,GENUS,1753,S,"Temminck, 1831",,CITES_EU,SPECIES,105076
brevis,SPECIES,,GENUS,104812,S,"(Friedmann, 1929)",,CITES_EU,SPECIES,105077
bucinator,SPECIES,,GENUS,1753,S,"Temminck, 1824",,CITES_EU,SPECIES,105078
bucinator,SPECIES,,GENUS,104812,S,"(Temminck, 1824)",,CITES_EU,SPECIES,105078
albotibialis,SPECIES,,GENUS,104813,S,"(Cabanis & Reichenow, 1877)",,CITES_EU,SPECIES,105079
albotibialis,SPECIES,,GENUS,1753,S,,,CITES_EU,SPECIES,105079
albotibialis,SPECIES,,GENUS,104812,S,,,CITES_EU,SPECIES,105079
albotibialis,SUBSPECIES,,SPECIES,105079,S,,,CITES_EU,SPECIES,105079
cylindricus,SPECIES,,GENUS,1753,S,"Temminck, 1831",,CITES_EU,SPECIES,105079
cylindricus,SPECIES,,GENUS,104812,S,"(Temminck, 1824)",,CITES_EU,SPECIES,105079
fistulator,SPECIES,,GENUS,1753,S,"Cassin, 1850",,CITES_EU,SPECIES,105080
fistulator,SPECIES,,GENUS,104812,S,"(Cassin, 1850)",,CITES_EU,SPECIES,105080
sharpii,SPECIES,,GENUS,104813,S,"(Elliot, 1873)",,CITES_EU,SPECIES,105080
sharpii,SPECIES,,GENUS,1753,S,"Elliot, 1873",,CITES_EU,SPECIES,105080
sharpii,SUBSPECIES,,SPECIES,105080,S,"(Elliot, 1873)",,CITES_EU,SPECIES,105080
subcylindricus,SPECIES,,GENUS,1753,S,"P.L. Sclater, 1871",,CITES_EU,SPECIES,105081
subcylindricus,SPECIES,,GENUS,104812,S,"(P.L. Sclater, 1871)",,CITES_EU,SPECIES,105081
maximiliani,SPECIES,,GENUS,105050,S,"Cabanis, 1851",,CITES_EU,SPECIES,104814
angolensis,SPECIES,,GENUS,955,S,"Linnaeus, 1766",,CITES_EU,SPECIES,104815
angolensis,SPECIES,,GENUS,105050,S,"(Linnaeus, 1766)",,CITES_EU,SPECIES,104815
atrirostris,SPECIES,,GENUS,105050,S,"P.L. Sclater & Salvin, 1878",,CITES_EU,SPECIES,104816
crassirostris,SPECIES,,GENUS,105050,S,"(J.F. Gmelin, 1789)",,CITES_EU,SPECIES,104817
