id,rank,Internal distribution note,Designation
54435,SPECIES,"Previous distributions for Indonesia, Israel, Lesotho, Malaysia, Mongolia, Singapore deleted as part of CMS project 9612 in 2025-2026.",CMS
66149,SPECIES,Previous distributions for El Salvador deleted as part of CMS project 9612 in 2025-2026.,CMS
54495,SPECIES,"Previous distributions for Austria, Bahrain, Cameroon, Czech Republic, Democratic Republic of the Congo, Former Serbia and Montenegro, Italy, Niger, Poland, Qatar, Slovenia, Spain, United Arab Emirates deleted as part of CMS project 9612 in 2025-2026.",CMS
66147,SPECIES,Previous distributions for Bermuda (United Kingdom) deleted as part of CMS project 9612 in 2025-2026.,CMS
54441,SPECIES,"Previous distributions for Afghanistan, Algeria, Bangladesh, Bermuda (United Kingdom), Egypt, Former Serbia and Montenegro, Indonesia, Iraq, Libya, Oman, Pakistan, Papua New Guinea, Solomon Islands, Taiwan, Province of China, Tajikistan, Tunisia, United Arab Emirates, Viet Nam deleted as part of CMS project 9612 in 2025-2026.",CMS
54467,SPECIES,"Previous distributions for Guam, Northern Mariana Islands deleted as part of CMS project 9612 in 2025-2026.",CMS
66150,SPECIES,"Previous distributions for Gambia, Guinea Bissau, Lesotho, Mali, Niger, Somalia deleted as part of CMS project 9612 in 2025-2026.",CMS
54434,SPECIES,"Previous distributions for Brunei Darussalam, Chad, Faroe Islands, Former Serbia and Montenegro, Gambia, Iceland, Malaysia, Mali, Mauritania, Somalia, South Africa, South Sudan, Sri Lanka, Svalbard and Jan Mayen Islands deleted as part of CMS project 9612 in 2025-2026.",CMS
54440,SPECIES,"Previous distributions for Central African Republic, Eswatini deleted as part of CMS project 9612 in 2025-2026.",CMS
54421,SPECIES,"Previous distributions for India, Papua New Guinea deleted as part of CMS project 9612 in 2025-2026.",CMS
66146,SPECIES,"Previous distributions for Bermuda (United Kingdom), French Guiana [FR], Guyana, Jamaica, Virgin Islands of the USA deleted as part of CMS project 9612 in 2025-2026.",CMS
54417,SPECIES,Previous distributions for Singapore deleted as part of CMS project 9612 in 2025-2026.,CMS
54419,SPECIES,"Previous distributions for Albania, Austria, Belarus, Bosnia and Herzegovina, Croatia, Czech Republic, Egypt, Former Serbia and Montenegro, Germany, Gibraltar (United Kingdom), Hong Kong, SAR, Hungary, Japan, Lao People's Democratic Republic, Latvia, Malaysia, Morocco, Netherlands, North Macedonia, Oman, Poland, Slovakia, Slovenia, Sudan, Taiwan, Province of China, Tunisia, Yemen deleted as part of CMS project 9612 in 2025-2026.",CMS
54444,SPECIES,"Previous distributions for Belgium, Cyprus, Former Serbia and Montenegro, Gibraltar (United Kingdom), Ireland, Kuwait, Malta, Netherlands, Saint Pierre and Miquelon deleted as part of CMS project 9612 in 2025-2026.",CMS
96616,SPECIES,"Previous distributions for Austria, Bangladesh, Belgium, Czech Republic, Denmark, Germany, Hungary, Kazakhstan, Kyrgyzstan, Luxembourg, Mongolia, Netherlands, Romania, Slovakia, Sri Lanka, Sweden deleted as part of CMS project 9612 in 2025-2026.",CMS
11580,SPECIES,"Previous distributions for Albania, Belarus, Cameroon, Cyprus, Denmark, Finland, Former Serbia and Montenegro, France, Germany, Italy, Libya, Lithuania, Malaysia, Morocco, Nigeria, Poland, Singapore, Slovenia, Sweden, Togo deleted as part of CMS project 9612 in 2025-2026.",CMS
