taxon_concept_id,Rank,GEO_entity,ISO Code 2,Designation,Tags
54435,SPECIES,COUNTRY,AE,CMS,introduced (?)
54419,SPECIES,COUNTRY,CY,CMS,"extinct, introduced"
54419,SPECIES,COUNTRY,FR,CMS,"extinct, reintroduced"
54419,SPECIES,COUNTRY,MD,CMS,extinct
54419,SPECIES,COUNTRY,RO,CMS,extinct
54432,SPECIES,COUNTRY,MD,CMS,extinct
54432,SPECIES,COUNTRY,RO,CMS,extinct
54432,SPECIES,COUNTRY,UA,CMS,extinct
54569,SPECIES,COUNTRY,IE,CMS,extinct
66200,SPECIES,TERRITORY,PF,CMS,introduced
54478,SPECIES,COUNTRY,UZ,CMS,extinct (?)
94622,SPECIES,COUNTRY,UZ,CMS,extinct (?)
11942,SPECIES,COUNTRY,AL,CMS,extinct
11942,SPECIES,COUNTRY,DZ,CMS,distribution uncertain
11942,SPECIES,COUNTRY,AT,CMS,reintroduced
11942,SPECIES,COUNTRY,BA,CMS,extinct
11942,SPECIES,COUNTRY,BG,CMS,extinct
11942,SPECIES,COUNTRY,DJ,CMS,distribution uncertain
11942,SPECIES,COUNTRY,IT,CMS,reintroduced
11942,SPECIES,COUNTRY,LI,CMS,extinct
11942,SPECIES,COUNTRY,MK,CMS,extinct
11942,SPECIES,COUNTRY,SA,CMS,extinct (?)
11942,SPECIES,COUNTRY,RS,CMS,extinct
11942,SPECIES,COUNTRY,CH,CMS,reintroduced
11942,SPECIES,COUNTRY,SY,CMS,extinct
11942,SPECIES,COUNTRY,ME,CMS,extinct
66211,SPECIES,COUNTRY,NE,CMS,distribution uncertain
66211,SPECIES,COUNTRY,NG,CMS,distribution uncertain
66210,SPECIES,COUNTRY,AF,CMS,extinct (?)
66210,SPECIES,COUNTRY,CN,CMS,extinct
66210,SPECIES,COUNTRY,IR,CMS,extinct (?)
66210,SPECIES,COUNTRY,LA,CMS,extinct (?)
66210,SPECIES,COUNTRY,MY,CMS,extinct
66210,SPECIES,COUNTRY,TH,CMS,extinct (?)
66210,SPECIES,COUNTRY,VN,CMS,extinct (?)
54437,SPECIES,COUNTRY,RO,CMS,extinct
94471,SPECIES,COUNTRY,MY,CMS,extinct
94471,SPECIES,COUNTRY,TH,CMS,extinct
94471,SPECIES,COUNTRY,VN,CMS,extinct (?)
11482,SPECIES,COUNTRY,GB,CMS,"extinct, reintroduced"
11419,SPECIES,COUNTRY,IR,CMS,extinct (?)
95104,SPECIES,COUNTRY,BD,CMS,distribution uncertain
54519,SPECIES,COUNTRY,MG,CMS,distribution uncertain
54577,SPECIES,COUNTRY,DZ,CMS,extinct (?)
54577,SPECIES,COUNTRY,CV,CMS,extinct
54577,SPECIES,COUNTRY,GR,CMS,extinct (?)
54577,SPECIES,COUNTRY,IE,CMS,reintroduced
12071,SPECIES,COUNTRY,BA,CMS,extinct
12071,SPECIES,COUNTRY,HR,CMS,extinct
12071,SPECIES,COUNTRY,ME,CMS,extinct
12071,SPECIES,COUNTRY,MD,CMS,extinct (?)
12071,SPECIES,COUNTRY,RO,CMS,extinct
12071,SPECIES,COUNTRY,RS,CMS,extinct (?)
12071,SPECIES,COUNTRY,ZA,CMS,extinct
12071,SPECIES,COUNTRY,UA,CMS,extinct
66339,SPECIES,COUNTRY,MY,CMS,extinct (?)
66339,SPECIES,COUNTRY,TH,CMS,extinct (?)
94474,SPECIES,COUNTRY,IL,CMS,extinct
94474,SPECIES,COUNTRY,JO,CMS,extinct
94474,SPECIES,COUNTRY,SY,CMS,extinct (?)
94474,SPECIES,COUNTRY,PS,CMS,extinct
94474,SPECIES,COUNTRY,EH,CMS,extinct
66341,SPECIES,COUNTRY,SZ,CMS,distribution uncertain
66341,SPECIES,COUNTRY,NG,CMS,distribution uncertain
11894,SPECIES,COUNTRY,AT,CMS,introduced
11894,SPECIES,COUNTRY,BE,CMS,introduced
11894,SPECIES,COUNTRY,DK,CMS,introduced
11894,SPECIES,COUNTRY,FR,CMS,introduced
11894,SPECIES,COUNTRY,DE,CMS,introduced
