taxon_concept_id,Rank,GEO_entity,ISO Code 2,Designation,Reference
107194,SPECIES,COUNTRY,MY,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107194,SPECIES,COUNTRY,BN,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107194,SPECIES,COUNTRY,ID,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107195,SPECIES,COUNTRY,CN,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107195,SPECIES,COUNTRY,IN,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107195,SPECIES,COUNTRY,MY,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107195,SPECIES,COUNTRY,MM,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107195,SPECIES,COUNTRY,PH,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107195,SPECIES,COUNTRY,ID,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107195,SPECIES,COUNTRY,TH,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107195,SPECIES,COUNTRY,BN,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107196,SPECIES,COUNTRY,MY,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107197,SPECIES,COUNTRY,MY,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107197,SPECIES,COUNTRY,ID,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107197,SPECIES,COUNTRY,TH,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107197,SPECIES,COUNTRY,BN,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107198,SPECIES,COUNTRY,MY,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107198,SPECIES,COUNTRY,ID,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107198,SPECIES,COUNTRY,BN,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107199,SPECIES,COUNTRY,MY,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107199,SPECIES,COUNTRY,ID,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107199,SPECIES,COUNTRY,BN,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107200,SPECIES,COUNTRY,MY,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107200,SPECIES,COUNTRY,ID,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107200,SPECIES,COUNTRY,BN,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107201,SPECIES,COUNTRY,MM,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107201,SPECIES,COUNTRY,TH,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107201,SPECIES,COUNTRY,KH,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107201,SPECIES,COUNTRY,MY,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107202,SPECIES,COUNTRY,IN,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107202,SPECIES,COUNTRY,MM,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107202,SPECIES,COUNTRY,TH,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107202,SPECIES,COUNTRY,MY,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107202,SPECIES,COUNTRY,ID,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107202,SPECIES,COUNTRY,BN,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107203,SPECIES,COUNTRY,LK,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107204,SPECIES,COUNTRY,VN,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107204,SPECIES,COUNTRY,KH,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107204,SPECIES,COUNTRY,TH,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107204,SPECIES,COUNTRY,MY,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107204,SPECIES,COUNTRY,ID,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107204,SPECIES,COUNTRY,LA,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107205,SPECIES,COUNTRY,ID,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107206,SPECIES,COUNTRY,BN,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107206,SPECIES,COUNTRY,ID,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
107206,SPECIES,COUNTRY,MY,CITES_EU,"POWO (2026). Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; https://powo.science.kew.org/. Retrieved 26 June 2026."
