taxon_concept_id,Rank,GEO_entity,ISO Code 2,Reference IDs,Designation
55876,SPECIES,COUNTRY,AR,18813,CITES_EU
55877,SPECIES,COUNTRY,CO,18813,CITES_EU
55877,SPECIES,COUNTRY,VE,18813,CITES_EU
55877,SPECIES,COUNTRY,EC,18813,CITES_EU
55878,SPECIES,COUNTRY,EC,18813,CITES_EU
55879,SPECIES,COUNTRY,BO,18813,CITES_EU
55879,SPECIES,COUNTRY,PE,18813,CITES_EU
55880,SPECIES,COUNTRY,PE,18813,CITES_EU
55896,SPECIES,COUNTRY,EC,18813,CITES_EU
55897,SPECIES,COUNTRY,EC,18813,CITES_EU
98130,SPECIES,COUNTRY,BR,18813,CITES_EU
55898,SPECIES,COUNTRY,BR,18813,CITES_EU
55898,SPECIES,COUNTRY,CO,18813,CITES_EU
55898,SPECIES,COUNTRY,EC,18813,CITES_EU
55898,SPECIES,COUNTRY,PE,18813,CITES_EU
55898,SPECIES,COUNTRY,PY,18813,CITES_EU
55898,SPECIES,COUNTRY,BO,18813,CITES_EU
97109,SPECIES,COUNTRY,BR,18813,CITES_EU
55899,SPECIES,COUNTRY,BR,18813,CITES_EU
55899,SPECIES,COUNTRY,BO,18813,CITES_EU
55901,SPECIES,COUNTRY,BR,18813,CITES_EU
55903,SPECIES,COUNTRY,MX,18813,CITES_EU
55903,SPECIES,COUNTRY,GT,18813,CITES_EU
55903,SPECIES,COUNTRY,NI,18813,CITES_EU
55903,SPECIES,COUNTRY,SV,18813,CITES_EU
55903,SPECIES,COUNTRY,HN,18813,CITES_EU
55903,SPECIES,COUNTRY,CR,18813,CITES_EU
97460,SPECIES,COUNTRY,CR,18813,CITES_EU
55904,SPECIES,COUNTRY,BO,18813,CITES_EU
55904,SPECIES,COUNTRY,BR,18813,CITES_EU
55905,SPECIES,COUNTRY,BR,18813,CITES_EU
55907,SPECIES,COUNTRY,BR,18813,CITES_EU
97615,SPECIES,COUNTRY,BR,18813,CITES_EU
64171,SPECIES,COUNTRY,VE,18813,CITES_EU
64171,SPECIES,COUNTRY,GY,18813,CITES_EU
64171,SPECIES,COUNTRY,BR,18813,CITES_EU
64171,SPECIES,COUNTRY,EC,18813,CITES_EU
