ComName,LangShort,RecId,Rank,Designation,ReferenceID
Antarktiese pelsob,AFR,8289,SPECIES,CITES_EU,
Basterkokerboom,AFR,21733,SPECIES,CITES_EU,
Bergskilpad,AFR,8867,SPECIES,CITES_EU,
Blou duiker,AFR,9997,SPECIES,CITES_EU,
Bobbejaankos,AFR,14479,SPECIES,CITES_EU,
Boggelrugdolfyn ,AFR,34009,SPECIES,CITES_EU,
Borsel-aalwyn,AFR,25713,SPECIES,CITES_EU,
Fynstert-sambokhaai,AFR,68006,SPECIES,CITES_EU,
Geometriese skilpad,AFR,6976,SPECIES,CITES_EU,
Gestekelde mobula,AFR,68410,SPECIES,CITES_EU,
Gladdestert-mobula,AFR,68409,SPECIES,CITES_EU,
Groot hamerkop,AFR,9171,SPECIES,CITES_EU,
Grootoog-sambokhaai,AFR,68005,SPECIES,CITES_EU,
Kaapse pelsrob,AFR,5620,SPECIES,CITES_EU,
Kafferaalwee,AFR,25713,SPECIES,CITES_EU,
Kalkoenibis,AFR,7519,SPECIES,CITES_EU,
Klein gekolde kat,AFR,6355,SPECIES,CITES_EU,
Kleintand-sambokhaai,AFR,68007,SPECIES,CITES_EU,
Miershooptier ,AFR,6355,SPECIES,CITES_EU,
Namakwa-aalwyn,AFR,25512,SPECIES,CITES_EU,
Nooienskokerboom,AFR,28691,SPECIES,CITES_EU,
Opesee-wittiphaai requin canal,AFR,3712,SPECIES,CITES_EU,
Rooi-lechwe,AFR,4050,SPECIES,CITES_EU,
Stekelstert-mobula,AFR,68408,SPECIES,CITES_EU,
Subantarktiese pelsrob,AFR,5342,SPECIES,CITES_EU,
Suidelike olifantrob,AFR,5907,SPECIES,CITES_EU,
Suurpootjie,AFR,6976,SPECIES,CITES_EU,
Swart-poot kat,AFR,6355,SPECIES,CITES_EU,
Waterkoedoe,AFR,7006,SPECIES,CITES_EU,
Al maha,ARA,4154,SPECIES,CITES_EU,
Al nimr,ARA,8619,SPECIES,CITES_EU,
Al qit,ARA,7300,SPECIES,CITES_EU,
Anaq al ardh,ARA,4645,SPECIES,CITES_EU,
Anbar,ARA,10761,SPECIES,CITES_EU,
Aqorchi,ARA,8895,SPECIES,CITES_EU,
Arhorchi,ARA,8895,SPECIES,CITES_EU,
Baghr al-bahr,ARA,3515,SPECIES,CITES_EU,
Begar al ouach,ARA,11205,SPECIES,CITES_EU,
Daba'a moukhattat,ARA,10154,SPECIES,CITES_EU,
Delfin azrak wa abyad,ARA,10064,SPECIES,CITES_EU,
Delfin kabir,ARA,7086,SPECIES,CITES_EU,
Dheeb,ARA,4442,SPECIES,CITES_EU,
Dukhs ,ARA,34009,SPECIES,CITES_EU,
Eqab hakhim,ARA,6765,SPECIES,CITES_EU,
Eqab musafaq,ARA,6765,SPECIES,CITES_EU,
Fenek,ARA,8895,SPECIES,CITES_EU,
Ghazal abiad,ARA,9611,SPECIES,CITES_EU,
Harmouche,ARA,3080,SPECIES,CITES_EU,
Hisan al-bahar,ARA,11016,SPECIES,CITES_EU,
Hussa lkleb,ARA,74635,SPECIES,CITES_EU,
Ibn awee,ARA,9412,SPECIES,CITES_EU,
Kird,ARA,6923,SPECIES,CITES_EU,
Lhayya lmayeta,ARA,74635,SPECIES,CITES_EU,
Lkird,ARA,6923,SPECIES,CITES_EU,
Qatwa al bahar,ARA,68006,SPECIES,CITES_EU,
Qatwa albahar,ARA,68005,SPECIES,CITES_EU,
Qit al rimal,ARA,9009,SPECIES,CITES_EU,
Reem,ARA,9611,SPECIES,CITES_EU,
Temsah,ARA,10745,SPECIES,CITES_EU,
Tirse,ARA,8781,SPECIES,CITES_EU,
Toumsa,ARA,10745,SPECIES,CITES_EU,
Wach,ARA,11205,SPECIES,CITES_EU,
Washeq,ARA,4645,SPECIES,CITES_EU,
Watwa albahar,ARA,68006,SPECIES,CITES_EU,
Abu habhab aswed,ARA,98282,SPECIES,CITES_EU,
Gahari nejia bandar,ASM,3069,SPECIES,CITES_EU,
Ha ha pahoo,ASM,8697,SPECIES,CITES_EU,
Hiho,ASM,7010,SPECIES,CITES_EU,
Khargorkata,ASM,8697,SPECIES,CITES_EU,
Senduri bandar,ASM,5121,SPECIES,CITES_EU,
Shihu,ASM,7010,SPECIES,CITES_EU,
Thaljimura,ASM,21005,SPECIES,CITES_EU,
Ullu moira,ASM,4697,SPECIES,CITES_EU,
Ag-balyg,AZE,7624,SPECIES,CITES_EU,
Ag-kulag-nyrya,AZE,6061,SPECIES,CITES_EU,
Gyuzgi-burun,AZE,6061,SPECIES,CITES_EU,
Uzun-burun,AZE,7624,SPECIES,CITES_EU,
Baraholeji banar,BEN,3069,SPECIES,CITES_EU,
Bitha,BEN,7358,SPECIES,CITES_EU,
Boro katbirali,BEN,7358,SPECIES,CITES_EU,
Chhotoleji banar,BEN,3069,SPECIES,CITES_EU,
Foomaach,BEN,7010,SPECIES,CITES_EU,
Gangmete,BEN,4177,SPECIES,CITES_EU,
Hungmaach,BEN,7010,SPECIES,CITES_EU,
Iraboti,BEN,9382,SPECIES,CITES_EU,
Lisu,BEN,7358,SPECIES,CITES_EU,
Nishi,BEN,7358,SPECIES,CITES_EU,
Seki,BEN,7358,SPECIES,CITES_EU,
Shushuk,BEN,7010,SPECIES,CITES_EU,
Sinduri banar,BEN,5121,SPECIES,CITES_EU,
Sishumaach,BEN,7010,SPECIES,CITES_EU,
A ga ru ,BOD,19042,SPECIES,CITES_EU,
Chang lu,BOD,7035,SPECIES,CITES_EU,
Kyang,BOD,7035,SPECIES,CITES_EU,
Tsos,BOD,8117,SPECIES,CITES_EU,
Kleinohr-risengalago ,DEU,9701,SPECIES,CITES_EU,
Abessinischer fuchs,DEU,10871,SPECIES,CITES_EU,
Aethiopienfuchs,DEU,10871,SPECIES,CITES_EU,
Afrika zibetkatze,DEU,10223,SPECIES,CITES_EU,
Afrikanisches chamã¤leon,DEU,3432,SPECIES,CITES_EU,
Algerischer feuersalamander,DEU,8686,SPECIES,CITES_EU,
Algerischer igel,DEU,3649,SPECIES,CITES_EU,
Algerischer rippenmolch,DEU,4408,SPECIES,CITES_EU,
