ComName,LangShort,RecId,Rank,Designation,ReferenceID
Вилорога антилопа,BUL,5062,SPECIES,CITES_EU,
Антилопа адакс,BUL,4464,SPECIES,CITES_EU,
Гривест козел,BUL,3905,SPECIES,CITES_EU,
Антилопа гарна,BUL,4985,SPECIES,CITES_EU,
Гаур,BUL,5874,SPECIES,CITES_EU,
Див як,BUL,7471,SPECIES,CITES_EU,
Купрей,BUL,11180,SPECIES,CITES_EU,
Антилопа нилгау,BUL,65574,SPECIES,CITES_EU,
Бивол арни,BUL,6811,SPECIES,CITES_EU,
Бивол аноа,BUL,4425,SPECIES,CITES_EU,
Тамарау,BUL,8124,SPECIES,CITES_EU,
Планински бивол аноа,BUL,10958,SPECIES,CITES_EU,
Такин,BUL,3135,SPECIES,CITES_EU,
Виторог козел,BUL,3780,SPECIES,CITES_EU,
Кавказки козел,BUL,67978,SPECIES,CITES_EU,
Безоавов козел,BUL,65582,SUBSPECIES,CITES_EU,
Сибирски козирог,BUL,65566,SPECIES,CITES_EU,
Китайски серау,BUL,3881,SPECIES,CITES_EU,
Челвен серау,BUL,3939,SPECIES,CITES_EU,
Суматренско серау,BUL,7979,SPECIES,CITES_EU,
Хималайски серау,BUL,10594,SPECIES,CITES_EU,
Дукер на Брук,BUL,8418,SPECIES,CITES_EU,
Черногръб дукер,BUL,4497,SPECIES,CITES_EU,
Либерийски горски дукер,BUL,4194,SPECIES,CITES_EU,
Дукер на Оджилби,BUL,8002,SPECIES,CITES_EU,
Жълтогръб дукер,BUL,10119,SPECIES,CITES_EU,
Зебров дукер,BUL,7092,SPECIES,CITES_EU,
Белонос бубал,BUL,12162,SUBSPECIES,CITES_EU,
Индийска газела,BUL,65567,SPECIES,CITES_EU,
Газела на Кювиер,BUL,3080,SPECIES,CITES_EU,
Газела доркас,BUL,5673,SPECIES,CITES_EU,
Тънкорога газела,BUL,9611,SPECIES,CITES_EU,
Черна конска антилопа,BUL,12301,SUBSPECIES,CITES_EU,
Воден козел лече,BUL,4050,SPECIES,CITES_EU,
Червен горал,BUL,4344,SPECIES,CITES_EU,
Дългоопашат горал,BUL,7159,SPECIES,CITES_EU,
Хималайски горал,BUL,9378,SPECIES,CITES_EU,
Китайски горал,BUL,6231,SPECIES,CITES_EU,
Газела дама,BUL,10002,SPECIES,CITES_EU,
Саблерог орикс,BUL,11205,SPECIES,CITES_EU,
Арабски орикс,BUL,4154,SPECIES,CITES_EU,
Архар,BUL,7093,SPECIES,CITES_EU,
Арабски муфлон,BUL,35596,SPECIES,CITES_EU,
Бухарски уриал,BUL,98436,SPECIES,CITES_EU,
Големорога овца,BUL,3036,SPECIES,CITES_EU,
Казахстански архар,BUL,98883,SPECIES,CITES_EU,
Aфгански уриал,BUL,98424,SPECIES,CITES_EU,
Архар от Гоби,BUL,98883,SPECIES,CITES_EU,
Анатолска овца,BUL,33589,SPECIES,CITES_EU,
Тибетски архар,BUL,98423,SPECIES,CITES_EU,
Архар от шанси,BUL,32866,SPECIES,CITES_EU,
Тяншански архар,BUL,98885,SPECIES,CITES_EU,
Архар от Кара–тау,BUL,30824,SPECIES,CITES_EU,
Архар на Марко Поло,BUL,98886,SPECIES,CITES_EU,
Пенджабски уриал,BUL,98952,SPECIES,CITES_EU,
Архар на Северцов,BUL,98887,SPECIES,CITES_EU,
Ладакски уриал,BUL,4814,SPECIES,CITES_EU,
Тибетска антилопа,BUL,8117,SPECIES,CITES_EU,
Син дукер,BUL,9997,SPECIES,CITES_EU,
Барал,BUL,65584,SPECIES,CITES_EU,
Саола,BUL,10395,SPECIES,CITES_EU,
Апенинска дива коза,BUL,12328,SUBSPECIES,CITES_EU,
Монголска сайга,BUL,9751,SPECIES,CITES_EU,
Степна сайга,BUL,8765,SPECIES,CITES_EU,
Четирирога антилопа,BUL,9831,SPECIES,CITES_EU,
Гуанако,BUL,10716,SPECIES,CITES_EU,
Викуня,BUL,3436,SPECIES,CITES_EU,
Филипински елен,BUL,4889,SPECIES,CITES_EU,
Бавеански елен,BUL,10380,SPECIES,CITES_EU,
Свински елен,BUL,3218,SPECIES,CITES_EU,
Индокитайски свински елен,BUL,12317,SUBSPECIES,CITES_EU,
Блатен елен,BUL,3625,SPECIES,CITES_EU,
Бактрийски елен,BUL,12260,SUBSPECIES,CITES_EU,
Берберски елен,BUL,12327,SUBSPECIES,CITES_EU,
Хангул,BUL,12225,SUBSPECIES,CITES_EU,
Месопотамски петнист елен,BUL,12218,SUBSPECIES,CITES_EU,
Централноамериканска мазама,BUL,12217,SUBSPECIES,CITES_EU,
Черен мунтджак,BUL,8941,SPECIES,CITES_EU,
Гигантски мунтджак,BUL,34430,SPECIES,CITES_EU,
Гватемалски белоопашат елен,BUL,12333,SUBSPECIES,CITES_EU,
Пампаски елен,BUL,8832,SPECIES,CITES_EU,
Еквадорски пуду,BUL,5742,SPECIES,CITES_EU,
Обикновен пуду,BUL,10291,SPECIES,CITES_EU,
Барасинга,BUL,10612,SPECIES,CITES_EU,
Таменг,BUL,4547,SPECIES,CITES_EU,
Жираф,BUL,98186,SPECIES,CITES_EU,
Либерийски хипопотам,BUL,11049,SPECIES,CITES_EU,
Пипопотам,BUL,9229,SPECIES,CITES_EU,
Бабирус,BUL,3372,SPECIES,CITES_EU,
Бола Батов бабирус,BUL,8703,SPECIES,CITES_EU,
Северен целебески бабирус,BUL,7226,SPECIES,CITES_EU,
Тогеански бабирус,BUL,6992,SPECIES,CITES_EU,
Свиня пигмей,BUL,7791,SPECIES,CITES_EU,
Чакско пекари,BUL,8725,SPECIES,CITES_EU,
Малка панда,BUL,7583,SPECIES,CITES_EU,
Златен чакал,BUL,9412,SPECIES,CITES_EU,
Вълк,BUL,4442,SPECIES,CITES_EU,
Етиопски вълк,BUL,10871,SPECIES,CITES_EU,
Лисица крабояд,BUL,5656,SPECIES,CITES_EU,
Гривест вълк,BUL,6975,SPECIES,CITES_EU,
Азиатско червено куче,BUL,5289,SPECIES,CITES_EU,
Андска лисица,BUL,8023,SPECIES,CITES_EU,
Дарвинова лисица,BUL,7195,SPECIES,CITES_EU,
Аржентинска сива лисица,BUL,8142,SPECIES,CITES_EU,
Пампаска лисица,BUL,8201,SPECIES,CITES_EU,
Южноамериканско храстово куче,BUL,7041,SPECIES,CITES_EU,
Бенгалска лисица,BUL,7752,SPECIES,CITES_EU,
Афганска лисица,BUL,9199,SPECIES,CITES_EU,
Фенек,BUL,8895,SPECIES,CITES_EU,
Фоса,BUL,9088,SPECIES,CITES_EU,
Дребнозъба мангуста,BUL,7930,SPECIES,CITES_EU,
Мадагаскарска цивета,BUL,8387,SPECIES,CITES_EU,
Гепард,BUL,8935,SPECIES,CITES_EU,
Азиатски каракал,BUL,4645,SPECIES,CITES_EU,
Азиатска златна котка,BUL,8985,SPECIES,CITES_EU,
Чернокрака котка,BUL,6355,SPECIES,CITES_EU,
Дива котка,BUL,7300,SPECIES,CITES_EU,
Ягуарунди,BUL,98337,SPECIES,CITES_EU,
Котка на Жофруа,BUL,3167,SPECIES,CITES_EU,
Южна онцила,BUL,98882,SPECIES,CITES_EU,
Андска котка,BUL,98335,SPECIES,CITES_EU,
Оцелот,BUL,10120,SPECIES,CITES_EU,
Тигрова котка,BUL,3399,SPECIES,CITES_EU,
Дългоопашата тигрова котка,BUL,4427,SPECIES,CITES_EU,
Евроазиатски рис,BUL,7414,SPECIES,CITES_EU,
Иберийски рис,BUL,8879,SPECIES,CITES_EU,
Явански опушен леопард,BUL,35601,SPECIES,CITES_EU,
Континентален опушен леопард,BUL,10199,SPECIES,CITES_EU,
Азиатски лъв,BUL,6353,SPECIES,CITES_EU,
Ягуар,BUL,6385,SPECIES,CITES_EU,
Леопард,BUL,8619,SPECIES,CITES_EU,
Тигър,BUL,6047,SPECIES,CITES_EU,
Снежен леопард,BUL,32743,SPECIES,CITES_EU,
Мраморна котка,BUL,7454,SPECIES,CITES_EU,
Бенгалска котка,BUL,12271,SUBSPECIES,CITES_EU,
Ириомотова котка,BUL,98334,SUBSPECIES,CITES_EU,
Суматренска котка,BUL,9833,SPECIES,CITES_EU,
Рижава петниста котка,BUL,9151,SPECIES,CITES_EU,
Костариканска пума,BUL,6330,SPECIES,CITES_EU,
Индийска сива мангуста,BUL,10277,SPECIES,CITES_EU,
Индийска кафява мангуста,BUL,7168,SPECIES,CITES_EU,
Малка азиатска мангуста,BUL,6973,SPECIES,CITES_EU,
Малка индийска мангуста,BUL,12195,SUBSPECIES,CITES_EU,
Индийска червена мангуста,BUL,6814,SPECIES,CITES_EU,
Мангуста крабояд,BUL,11150,SPECIES,CITES_EU,
Ивичестошия мангуста,BUL,8897,SPECIES,CITES_EU,
Ивичеста хиена,BUL,10154,SPECIES,CITES_EU,
Земен вълк,BUL,7432,SPECIES,CITES_EU,
Хумболтов скункс,BUL,9154,SPECIES,CITES_EU,
Камерунска видра,BUL,12219,SUBSPECIES,CITES_EU,
Малка азиатска видра,BUL,5252,SPECIES,CITES_EU,
Южна морска видра,BUL,12273,SUBSPECIES,CITES_EU,
Котешка видра,BUL,7817,SPECIES,CITES_EU,
Дългоопашата видра,BUL,4391,SPECIES,CITES_EU,
Южна видра,BUL,5716,SPECIES,CITES_EU,
Европейска видра,BUL,10941,SPECIES,CITES_EU,
