"taxon_concept_id","Rank","GEO_entity","ISO Code 2","Designation","Reference"
98192,"SPECIES","COUNTRY","LK","CITES_EU","Bahir, M.M. and Surasinghe, T.D. 2005. A conservation assessement of the Sri Lankan Agamidae (Reptilia: Sauria). The Raffles Bulletin of Zoology, (Supplement No. 12): 407–412."
98193,"SPECIES","COUNTRY","LK","CITES_EU","Bahir, M.M. and Surasinghe, T.D. 2005. A conservation assessement of the Sri Lankan Agamidae (Reptilia: Sauria). The Raffles Bulletin of Zoology, (Supplement No. 12): 407–412."
98194,"SPECIES","COUNTRY","LK","CITES_EU","Bahir, M.M. and Surasinghe, T.D. 2005. A conservation assessement of the Sri Lankan Agamidae (Reptilia: Sauria). The Raffles Bulletin of Zoology, (Supplement No. 12): 407–412."
98195,"SPECIES","COUNTRY","LK","CITES_EU","Bahir, M.M. and Surasinghe, T.D. 2005. A conservation assessement of the Sri Lankan Agamidae (Reptilia: Sauria). The Raffles Bulletin of Zoology, (Supplement No. 12): 407–412."
98196,"SPECIES","COUNTRY","LK","CITES_EU","Bahir, M.M. and Surasinghe, T.D. 2005. A conservation assessement of the Sri Lankan Agamidae (Reptilia: Sauria). The Raffles Bulletin of Zoology, (Supplement No. 12): 407–412."
98271,"SPECIES","COUNTRY","BR","CITES_EU","Beirão, M. V., Campos-Neto, F.C., Pimenta, I.A. and Freitas, A.V.L. 2012. Population Biology and Natural History of Parides burchellanus (Papilionidae: Papilioninae: Troidini), an Endangered Brazilian Butterfly. Annals of the Entomological Society of America, 105(1): 36–43."
98205,"SPECIES","COUNTRY","CN","CITES_EU","Blair, C., Orlov, N.L., Shi, H.-T. and Murphy, R.W. 2009. A taxonomic re-Evaluation of Goniurosaurus hainanensis (Squamata: Eublepharidae) from Hainan Island, China. Russian Journal of Herpetology, 16(1): 35–40."
98233,"SPECIES","COUNTRY","IR","CITES_EU","Bostanchi, H., Anderson, S.C., Kami, H.G. and Papenfuss, T.J. 2006. A new species of Pseudocerastes with elaborate tail ornamenation from western Iran (Squamata: Viperidae). Proceedings of the California Academy of Science, 57(14): 443–450."
98219,"SPECIES","COUNTRY","MX","CITES_EU","Buckley, L.J., de Queiroz, K., Grant, T.D., Hollingsworth, B.D., Iverson, J.B., Pasachnik, S.A. and Stephen, C.L. 2016. A checklist of the Iguanas of the world (Iguanidae; Iguaninae). Herpetological Conservation and Biology, 11(6): 4–46."
98220,"SPECIES","COUNTRY","MX","CITES_EU","Buckley, L.J., de Queiroz, K., Grant, T.D., Hollingsworth, B.D., Iverson, J.B., Pasachnik, S.A. and Stephen, C.L. 2016. A checklist of the Iguanas of the world (Iguanidae; Iguaninae). Herpetological Conservation and Biology, 11(6): 4–46."
