Scientific name,Rank,RecID,ParentRank,ParentID,Status,Species Author,Notes,Designation,AcceptedRank,AcceptedID
senegalensis,SPECIES,,GENUS,13162,S,Vahl ex DC.,,CITES_EU,SPECIES,67733
erinaceum,SPECIES,,GENUS,39331,S,Kuntze,,CITES_EU,SPECIES,67733
flavus,SPECIES,,GENUS,13162,S,Lour.,,CITES_EU,SPECIES,103005
echinatus,SPECIES,,GENUS,13162,S,Pers.,,CITES_EU,SPECIES,103005
wallichii,SPECIES,,GENUS,13162,S,Wight & Arn.,,CITES_EU,SPECIES,103005
pallidus,SPECIES,,GENUS,13162,S,Blanco,,CITES_EU,SPECIES,103005
santalinus,SPECIES,,GENUS,13162,S,Blanco,,CITES_EU,SPECIES,103005
obtusatus,SPECIES,,GENUS,13162,S,Miq.,,CITES_EU,SPECIES,103005
zollingeri,SPECIES,,GENUS,13162,S,Miq.,,CITES_EU,SPECIES,103005
papuana,SPECIES,,GENUS,13162,S,F.Muell.,,CITES_EU,SPECIES,103005
indicum,SPECIES,,GENUS,39331,S,Kuntze,,CITES_EU,SPECIES,103005
blancoi,SPECIES,,GENUS,13162,S,Merr.,,CITES_EU,SPECIES,103005
klemmei,SPECIES,,GENUS,13162,S,Merr.,,CITES_EU,SPECIES,103005
saxatilis,SPECIES,,GENUS,13162,S,Backer,,CITES_EU,SPECIES,103005
pubescens,SPECIES,,GENUS,13162,S,Merr.,,CITES_EU,SPECIES,103005
carolinensis,SPECIES,,GENUS,13162,S,Kaneh.,,CITES_EU,SPECIES,103005
lucens,SPECIES,,GENUS,39331,S,(Lepr. Ex Guill. & Perr.) Kuntze,,CITES_EU,SPECIES,100322
stevensonii,SPECIES,,GENUS,13162,S,Burtt Davy,,CITES_EU,SPECIES,100322
antunesii,SPECIES,,GENUS,13162,S,(Taub.) Harms,,CITES_EU,SPECIES,100322
praecox,SPECIES,,GENUS,12737,S,Hochst. ex A. Rich.,,CITES_EU,SPECIES,100322
simplicifolium,SPECIES,,GENUS,39331,S,Kuntze,,CITES_EU,SPECIES,100322
abyssinicus,SPECIES,,GENUS,13162,S,Hochst. ex A. Rich.,,CITES_EU,SPECIES,100322
simplicifolius,SPECIES,,GENUS,13162,S,Baker,,CITES_EU,SPECIES,100322
marsupium,SPECIES,,GENUS,39331,S,(Roxb.) Kuntze,,CITES_EU,SPECIES,103006
flavus,SPECIES,,GENUS,13162,S,Roxb. ex Rottler,,CITES_EU,SPECIES,103006
bilobus,SPECIES,,GENUS,13162,S,Roxb. ex G.Don,,CITES_EU,SPECIES,103006
vijaya,SPECIES,,GENUS,13162,S,Buch.-Ham.,,CITES_EU,SPECIES,103006
usambarensis,SPECIES,,GENUS,13162,S,Verdc.,,CITES_EU,SPECIES,100323
rotundifolia,SPECIES,,GENUS,12737,S,Sond.,,CITES_EU,SPECIES,100326
rotundifolium,SPECIES,,GENUS,98465,S,(Sond.) Kuntze,,CITES_EU,SPECIES,100326
buchananii,SPECIES,,GENUS,13162,S,Schinz,,CITES_EU,SPECIES,100326
mellifer,SPECIES,,GENUS,13162,S,Welw. ex Baker,,CITES_EU,SPECIES,100326
sericeus,SPECIES,,GENUS,13162,S,Benth.,,CITES_EU,SPECIES,100326
melliferum,SPECIES,,GENUS,39331,S,Kuntze,,CITES_EU,SPECIES,100326
sericeum,SPECIES,,GENUS,39331,S,Kuntze,,CITES_EU,SPECIES,100326
amazonicus,SPECIES,,GENUS,13162,S,Huber,,CITES_EU,SPECIES,100327
grandis,SPECIES,,GENUS,13162,S,R.S.Cowan,,CITES_EU,SPECIES,100327
michelii,SPECIES,,GENUS,13162,S,Britton,,CITES_EU,SPECIES,100327
esculentus,SPECIES,,GENUS,13162,S,Schumach. & Thonn.,,CITES_EU,SPECIES,100327
esculentum,SPECIES,,GENUS,39331,S,(Schumach. & Thonn.) Kuntze,,CITES_EU,SPECIES,100327
cabrae,SPECIES,,GENUS,13162,S,De Wild.,,CITES_EU,SPECIES,98274
delevoyi,SPECIES,,GENUS,13162,S,De Wild.,,CITES_EU,SPECIES,98274
kaessneri,SPECIES,,GENUS,13162,S,Harms,,CITES_EU,SPECIES,98274
pterota,SPECIES,,GENUS,13170,S,Mart.,,CITES_EU,SPECIES,100440
microcarpa,SPECIES,,GENUS,100266,S,A.Chev.,,CITES_EU,SPECIES,100296
bequaertii,SPECIES,,GENUS,100266,S,De Wild.,,CITES_EU,SPECIES,100297
caudata,SPECIES,,GENUS,100266,S,Hoyle,,CITES_EU,SPECIES,100297
brieyi,SPECIES,,GENUS,100266,S,De Wild.,,CITES_EU,SPECIES,100298
zenkeri,SPECIES,,GENUS,100266,S,Harms,,CITES_EU,SPECIES,100298
bracteata,SPECIES,,GENUS,100266,S,Vogel ex Benth.,,CITES_EU,SPECIES,100299
bracteata,SPECIES,,GENUS,67132,S,(Vogel ex Benth.) Kuntze,,CITES_EU,SPECIES,100299
attenuata,SPECIES,,GENUS,100266,S,Klotzsch,,CITES_EU,SPECIES,100301
petersiana,SPECIES,,GENUS,100266,S,Klotzsch,,CITES_EU,SPECIES,100301
attenuata,SPECIES,,GENUS,67132,S,(Klotzsch) Kuntze,,CITES_EU,SPECIES,100301
