ComName,LangShort,RecId,Rank,Designation,ReferenceID
Petty Spurge,ENG,100871,Species,CITES_EU,14010
Desert Rose,ENG,101285,Species,CITES_EU,21462
Désert Rose,FRA,101285,Species,CITES_EU,21462
Abete dei Nebrodi,ITA,10317,Species,CITES_EU,10370
Sicilian Fir,ENG,10317,Species,CITES_EU,10370
Tue da voi,VIE,10375,Species,CITES_EU,20985
Cicas di Beddome,ITA,10377,Species,CITES_EU,21486
Sago-palm,ENG,10388,Species,CITES_EU,14010
Chaye sutie,ZHO,10389,Species,CITES_EU,17617
Bichi sutie,ZHO,10392,Species,CITES_EU,17617
Prong khao,THA,10392,Species,CITES_EU,19257
Malayan Fern Palm,ENG,10394,Species,CITES_EU,20099
Pakis,IND,10394,Species,CITES_EU,15213
Prong tha le,THA,10394,Species,CITES_EU,19257
Prong thai,THA,10395,Species,CITES_EU,19257
Taiwan sutie,ZHO,10396,Species,CITES_EU,17617
"Cycad, Stangeria",ENG,10398,Species,CITES_EU, 
"Hottentot's Head, Stangeria",ENG,10398,Species,CITES_EU, 
Fragrant Prickly-apple Cactus,ENG,104199,Species,CITES_EU,21477
Fragrant Woolly Cactus,ENG,104199,Species,CITES_EU,21477
Beargrass,ENG,104888,Species,CITES_EU,21423
Junquillo,SPA,104888,Species,CITES_EU,21462
Rauhschopf,DEU,104888,Species,CITES_EU, 
Sand Prickly-pear Cactus,ENG,104933,Species,CITES_EU,19002
Warnock's Butterfly Cactus,ENG,104945,Species,CITES_EU,19002
Peyote,SPA,104946,Species,CITES_EU,20067
Granadillo morado,SPA,105022,Species,CITES_EU, 
Granadillo,SPA,105022,Species,CITES_EU,14010
Arpón,SPA,105223,Species,CITES_EU,19883
Lengua de vaca,SPA,105223,Species,CITES_EU,19883
Devil's Prickly-pear Cactus,ENG,105227,Species,CITES_EU,14662
Agave della Regina Vittoria,ITA,105303,Species,CITES_EU,21486
kruunuagave,FIN,105303,Species,CITES_EU,21486
Queen Agave,ENG,105303,Species,CITES_EU, 
Queen Victoria Agave,ENG,105303,Species,CITES_EU,21429
Jug Orchid,ENG,105553,Species,CITES_EU,19924
Copper-glint Orchid,ENG,105555,Species,CITES_EU,19924
Hong Kong Jewel Orchid,ENG,105555,Species,CITES_EU,19924
Bamboo Orchid,ENG,105556,Species,CITES_EU,19924
Little Big-lip Orchid,ENG,105557,Species,CITES_EU,19924
Ambrosia Orchid,ENG,105559,Species,CITES_EU,19924
Pom-pom Orchid,ENG,105560,Species,CITES_EU,19924
Slender Calanthe,ENG,105564,Species,CITES_EU,19924
Large Caterpillar Orchid,ENG,105565,Species,CITES_EU,19924
Little Tiger,ENG,105569,Species,CITES_EU,19924
Yellow Fan Orchid,ENG,105569,Species,CITES_EU,19924
Bee Orchid,ENG,105572,Species,CITES_EU,19924
Terete-leaf Orchid,ENG,105572,Species,CITES_EU,19924
Brown Rock Orchid,ENG,105574,Species,CITES_EU,19924
Pendant Cymbidium,ENG,105577,Species,CITES_EU,19924
