LAW_NUM,RANK_NAME,REC_ID,LISTING,EFFECTIVE_FROM,PARTY_ISO2,IS_CURRENT,HASH_NOTE,POPULATIONS_ISO2,EXCLUDEDpopulations_ISO,IS_INCLUSION,INCLUDED_IN,RANK,EXCLUDED_REC_IDS,FULL_NOTE_EN
29,FAMILY,1,DELB,18/12/2000,,0,,,,0,,,,
8,FAMILY,1,B,01/06/1997,,0,#1 No 338/97,,,0,,,,
140,FAMILY,3,B,15/12/2012,,0,#4 No 1158/2012,,,0,,,"GENUS: 821, GENUS: 822, GENUS: 927","Except for the species included in Annex A and <i>Pereskia</i> spp., <i>Pereskiopsis</i> spp. and <i>Quiabentia</i> spp.Artificially propagated specimens of the following hybrids and/or cultivars are not subject to the provisions of this Regulation: <i>Hatiora x graeseri Schlumbergera x buckleyi Schlumbergera russelliana x Schlumbergera truncata Schlumbera orssichiana x Schlumbera truncata Schlumbera opuntioides x Schlumbera truncata Schlumbera truncata</i> (cultivars); <i>Cactaceae</i> spp. colour mutants lacking chlorophyll, grafted on the following grafting stocks: <i>Harrisia</i> ""Jusbertii"", <i>Hylocereus trigonus</i> or <i>Hylocereus undatus__Opuntia microdasys</i> (cultivars)."
139,FAMILY,3,B,14/02/2012,,0,#4 No 101/2012,,,0,,,"GENUS: 821, GENUS: 822, GENUS: 927","Except for the species included in Annex A and <i>Pereskia</i> spp., <i>Pereskiopsis</i> spp. and <i>Quiabentia</i> spp. Artificially propagated specimens of the following hybrids and/or cultivars are not subject to the provisions of this Regulation: <i>Hatiora x graeseri Schlumbergera x buckleyi Schlumbergera russelliana x Schlumbergera truncata Schlumbera orssichiana x Schlumbera truncata Schlumbera opuntioides x Schlumbera truncata Schlumbera truncata</i> (cultivars); <i>Cactaceae</i> spp. colour mutants lacking chlorophyll, grafted on the following grafting stocks: <i>Harrisia</i> ""Jusbertii"", <i>Hylocereus trigonus</i> or <i>Hylocereus undatus</i>, <i>Opuntia microdasys</i> (cultivars)."
138,FAMILY,3,B,15/08/2010,,0,#4 No 709/2010,,,0,,,"GENUS: 821, GENUS: 822, GENUS: 927","Except for the species included in Annex A and <i>Pereskia</i> spp., <i>Pereskiopsis</i> spp. and <i>Quiabentia</i> spp.Artificially propagated specimens of the following hybrids and/or cultivars are not subject to the provisions of this Regulation: <i>Hatiora x graeseri Schlumbergera x buckleyi Schlumbergera russelliana x Schlumbergera truncata Schlumbera orssichiana x Schlumbera truncata Schlumbera opuntioides x Schlumbera truncata Schlumbera truncata</i> (cultivars); <i>Cactaceae</i> spp. colour mutants lacking chlorophyll, grafted on the following grafting stocks: <i>Harrisia</i> ""Jusbertii"", <i>Hylocereus trigonus</i> or <i>Hylocereus undatus__Opuntia microdasys</i> (cultivars)."
137,FAMILY,3,B,22/05/2009,,0,#4 No 407/2009,,,0,,,"GENUS: 821, GENUS: 822, GENUS: 927","Except for the species included in Annex A and <i>Pereskia</i> spp., <i>Pereskiopsis</i> spp. and <i>Quiabentia</i> spp.Artificially propagated specimens of the following hybrids and/or cultivars are not subject to the provisions of this Regulation: <i>Hatiora x graeseri Schlumbergera x buckleyi Schlumbergera russelliana x Schlumbergera truncata Schlumbera orssichiana x Schlumbera truncata Schlumbera opuntioides x Schlumbera truncata Schlumbera truncata</i> (cultivars); <i>Cactaceae</i> spp. colour mutants lacking chlorophyll, grafted on the following grafting stocks: <i>Harrisia</i> ""Jusbertii"", <i>Hylocereus trigonus</i> or <i>Hylocereus undatus__Opuntia microdasys</i> (cultivars)."
100,FAMILY,3,B,11/04/2008,,0,#4 No 318/2008,,,0,,,"GENUS: 821, GENUS: 822, GENUS: 927","Except for the species included in Annex A and <i>Pereskia</i> spp., <i>Pereskiopsis</i> spp. and <i>Quiabentia</i> spp.Artificially propagated specimens of the following hybrids and/or cultivars are not subject to the provisions of this Regulation: <i>Hatiora x graeseri, Schlumbergera x buckleyi; Schlumbergera russelliana x Schlumbergera truncata; Schlumbera orssichiana x Schlumbera truncata; Schlumbera opuntioides x Schlumbera truncata; Schlumbera truncata</i> (cultivars); <i>Cactaceae</i> spp. colour mutants lacking chlorophyll, grafted on the following grafting stocks: <i>Harrisia</i> ""Jusbertii"", <i>Hylocereus trigonus</i> or <i>Hylocereus undatus__Opuntia microdasys</i> (cultivars)."
98,FAMILY,3,B,22/08/2005,,0,#4 No 1332/2005,,,0,,,,"Except for the species included in Annex A. Artificially propagated specimens of the following hybrids and/or cultivars ar not subject to the provisions of this Regulation: <i>Hatiora x graeseri, Schlumbergera x buckleyi; Schlumbergera russelliana x Schlumbergera truncata; Schlumbera orssichiana x Schlumbera truncata; Schlumbera opuntioides x Schlumbera truncata; Schlumbera truncata</i> (cultivars); Cactaceae spp. colour mutants lacking chlorophyll, grafted on the following grafting stocks: <i>Harrisia</i> ""Jusbertii"", <i>Hylocereus trigonus</i> or <i>Hylocereus undatus_; <i>Opuntia microdasys</i> (cultivars)."
82,FAMILY,3,B,30/08/2003,,0,#4 No 1497/2003,,,0,,,,"Except for the species included in Annex A. Artificially propagated specimens of the following hybrids and/or cultivars ar not subject to the provisions of this Regulation: <i>Hatiora x graeseri, Schlumbergera x buckleyi; Schlumbergera russelliana x Schlumbergera truncata; Schlumbera orssichiana x Schlumbera truncata; Schlumbera opuntioides x Schlumbera truncata; Schlumbera truncata</i> (cultivars); Cactaceae spp. colour mutants lacking chlorophyll, grafted on the following grafting stocks: <i>Harrisia</i> ""Jusbertii"", <i>Hylocereus trigonus</i> or <i>Hylocereus undatus_; <i>Opuntia microdasys</i> (cultivars)."
29,FAMILY,3,B,18/12/2000,,0,#4 No 2724/2000,,,0,,,,"One or more geographically separate populations, subspecies or species are included in Annex A and are excluded from Annex B. Artificially propagated specimens of the following hybrids and/or cultivars are not subject to the provisions of the Regulation: <i>Hatiora x graeseri, Schlumbergera x buckleyi, Schlumbergera russelliana x S. truncata, S. orssichiana x S. truncata, S. opuntoides x S. truncata, S. truncata</i> (cultivars), <i>Gymnocalycium mihanovichii</i> (cultivars) forms lacking chlorophyll, grafted on the following grafting stocks: <i>Harrisia</i> 'Jusbertii', <i>Hylocereus trigonus</i> or <i>Hylocereus undatus</i>, <i>Opuntia microdasys</i> (cultivars)."
8,FAMILY,3,B,01/06/1997,,0,#4 No 338/97,,,0,,,,
140,FAMILY,4,B,15/12/2012,,0,#4 No 1158/2012,,,0,,,,"Except for the species included in Annex A. Artificially propagated hybrids of Cymbidium, Dendrobium, Phalaenopsis and Vanda are not subject to the provisions of this Regulation, when specimens are readily recognizable as artificially propagated and do not show any signs of having been collected in the wild such as mechanical damage or strong dehydration resulting from collection, irregular growth and heterogeneous size and shape within a taxon and shipment, algae or other epiphyllous organisms adhering to leaves, or damage by insects or other pests; and (a) when shipped in non flowering state, the specimens must be traded in shipments consisting of individual containers (such as cartons, boxes, crates or individual shelves of CC-containers) each containing 20 or more plants of the same hybrid; the plants within each container must exhibit a high degree of uniformity and healthiness; and the shipment must be accompanied by documentation, such as an invoice, which clearly states the number of plants of each hybrid; or (b) when shipped in flowering state, with at least one fully open flower per specimen, no minimum number of specimens per shipment is required but specimens must be professionally processed for commercial retail sale, e.g. labelled with printed labels or packaged with printed packages indicating the name of the hybrid and the country of final processing. This should be clearly visible and allow easy verification. Plants not clearly qualifying for the exemption must be accompanied by appropriate CITES documents."
