rank_name,rec_id,listing,effective_from,party_iso2,is_current,populations_iso2,EXCLUDEDpopulations_iso,is_inclusion,included_in_RecID,RankforInclusions,excluded_rec_ids,short_note_en,short_note_es,short_note_fr,full_note_en,SpeciesIndexAnnotation,HistoryAnnotation,hash_note,Notes
VARIETY,9762,III,23/06/2010,NP,1,,,0,,,,,,,,,,CoP15 #1,
VARIETY,9762,III,13/09/2007,NP,0,,,0,,,,,,,,,,CoP14 #1,
VARIETY,9762,III,18/09/1997,NP,0,,,0,,,,,,,,,,CoP10 #1,
VARIETY,9762,III,16/02/1995,NP,0,,,0,,,,,,,,,,CoP9 #1,
VARIETY,9762,III,01/08/1985,NP,0,,,0,,,,,,,,,,CoP5 #1,
VARIETY,9762,III/w,01/01/1984,DK,0,,,0,,,,,,,,,,,
VARIETY,9762,III/r,24/10/1977,DK,0,,,0,,,,,,,,,,,
VARIETY,9762,III,16/11/1975,NP,0,,,0,,,,,,,,,,,
SUBSPECIES,176616,II,04/02/1977,,1,,,1,1,FAMILY,,Included in CYATHEACEAE spp.,Incluida en CYATHEACEAE spp.,Inclus dans CYATHEACEAE spp.,,,,,
SUBSPECIES,176616,II,01/07/1975,,0,,,0,,,,Formerly listed under <i>Cyathea capensis</i> .,Anteriormente incluida en <i>Cyathea capensis</i> .,Précédemment inscrit dans <i>Cyathea capensis</i> .,,,,,
SUBSPECIES,11297,I,11/06/1992,,1,,,1,82,GENUS,,Included in <i>Ariocarpus</i> spp. ,Incluida en <i>Ariocarpus</i> spp.,Inclus dans <i>Ariocarpus</i> spp.,,,,,
SUBSPECIES,11297,I/w,06/01/1989,AT,0,,,0,,,,,,,,,,,
SUBSPECIES,11297,I/r,29/07/1983,AT,0,,,0,,,,,,,,,,,
SUBSPECIES,11297,I,29/07/1983,,0,,,0,,,,,,,,,,,
SUBSPECIES,27463,I/w,01/01/1983,CH,0,,,0,,,,,,,,,,,
SUBSPECIES,27463,I/w,01/01/1983,LI,0,,,0,,,,,,,,,,,
SUBSPECIES,27463,I/r,06/06/1981,CH,0,,,0,,,,,,,,,,,
SUBSPECIES,27463,I/r,06/06/1981,LI,0,,,0,,,,,,,,,,,
SUBSPECIES,27463,I,06/06/1981,,1,,,0,,,,,,,,,,,
SUBSPECIES,8848,I/w,01/01/1983,CH,0,,,0,,,,,,,,,,,
SUBSPECIES,8848,I/w,01/01/1983,LI,0,,,0,,,,,,,,,,,
SUBSPECIES,8848,I/r,06/06/1981,CH,0,,,0,,,,,,,,,,,
SUBSPECIES,8848,I/r,06/06/1981,LI,0,,,0,,,,,,,,,,,
SUBSPECIES,8848,I,06/06/1981,,1,,,0,,,,Originally listed as <i>S. alabamensis alabamensis</i>,Originalmente inscrita como S. alabamensis alabamensis,Inscrit à l'origine comme S. alabamensis alabamensis,,,,,
SUBSPECIES,26944,I/w,01/01/1983,CH,0,,,0,,,,,,,,,,,
SUBSPECIES,26944,I/w,01/01/1983,LI,0,,,0,,,,,,,,,,,
SUBSPECIES,26944,I/r,06/06/1981,CH,0,,,0,,,,,,,,,,,
SUBSPECIES,26944,I/r,06/06/1981,LI,0,,,0,,,,,,,,,,,
SUBSPECIES,26944,I,06/06/1981,,1,,,0,,,,Originally listed as <i>S. jonesii</i>.,Originalmente inscrita como S. jonesii,Inscrit à l'origine comme S. jonesii,,,,,
SUBSPECIES,9584,II/w,06/01/1989,AT,0,,,0,,,,,,,,,,,
SUBSPECIES,9584,II/r,29/07/1983,AT,0,,,0,,,,,,,,,,,
SUBSPECIES,9584,I,29/07/1983,,1,,,0,,,,,,,,,,,
SPECIES,8336,II/r,15/07/2004,PW,1,,,0,,,,Reservation entered under <i>Cyathea lunulata</i>.,Reserva formulada como <i>Cyathea lunulata</i>.,Réservation inscrite sous <i>Cyathea lunulata</i>.,,,,,
SPECIES,106241,I,16/02/1995,,1,,,0,,,,Includes <i>E. cremersii fa. viridifolia</i> & <i>E. c. var. rakotozafyi.</i>,Incluye E. cremersii fa. viridifolia & E. c. var. rakotozafyi.,Inclut E. cremersii fa. viridifolia & E. c. var. rakotozafyi.,Included in Appendix I. Includes the forma<i> viridifolia</i> and the variety <i>rakotozafyi</i>.,53,,,
SPECIES,9687,I,18/01/1990,,1,,,0,,,,Includes <i>E. cylindrifolia ssp. tuberifera</i>.,Incluye E. cylindrifolia ssp. tuberifera.,Inclut E. cylindrifolia ssp. tuberifera.,Included in Appendix I. Includes the subspecies <i>tuberifera</i>.,54,,,
SPECIES,9206,I,18/01/1990,,1,,,0,,,,"Includes <i>E. decaryi vars. ampanihyensis, robinsonii </i>&
<i>spirosticha.</i>","Incluye E. decaryi vars. ampanihyensis, robinsonii &
spirosticha.","Inclut E. decaryi vars. ampanihyensis, robinsonii &
spirosticha.","Included in Appendix I. Includes the varieties <i>ampanihyensis, robinsonii and spirosticha</i>.",55,,,
