SpcRecID,Scientific name,Rank,Status,RefRecIDs
4,lobelii,Species,A,20171
155,stoloniferus,Species,A,21437
156,phyllanthus,Species,A,21437
165,laui,Species,A,21437
170,squamosa,Species,A,21437
203,carinatus,Species,A,21437
225,santamarinae,Species,A,21408:21437:
228,scopulophilus,Species,A,21408:21437:
354,perezassoi,Species,A,21437
455,marcanoi,Species,A,21437
472,ewaldiana,Species,A,21437
481,hoelleri,Species,A,21437
482,juengeri,Species,A,21437
488,sulcata,Species,A,21437
516,davisii,Species,A,8000:20171:
607,bulbosa,Species,A,8751:20171:
884,cucullata,Species,A,8000:20171:
885,epipactoides,Species,A,20171
981,comperiana,Species,A,8000:20171:
1085,creticum,Species,A,21389:15934:20171
1098,calceolus,Species,A,8000:20171:21440
1112,kalopissii,Species,A,
1336,austriaca,Species,A,17672:20171:
1337,bessarabica,Species,A,17672:20171:
1338,bivonae,Species,A,17672:20171:
1340,clavigera,Species,A,20604:17672:21391:22181:
1341,clementei,Species,A,20171
1343,deflexa,Species,A,17672:20171:
1344,duvalii,Species,A,17672:20171:
1346,gibelliana,Species,A,17672:20171:
1347,gregersenii,Species,A,17672:20171:
1348,hierosolymitana,Species,A,17672
1349,isatidifolia,Species,A,17672:20171:
1350,ledebourii,Species,A,17672:20171:
1351,maresii,Species,A,17672:20171:
1352,medicaginea,Species,A,17672:20171:
1353,minuta,Species,A,17672:20171:
1354,monchiquensis,Species,A,17672:20171:
1355,montenegrina,Species,A,17672:20171:
1356,nevadensis,Species,A,17672:20171:
1357,orphanidis,Species,A,17672:20171:
1358,polygalifolia,Species,A,17672:20171:
1359,rechingeri,Species,A,17672:20171:
1362,soongarica,Species,A,17672:20171:
1363,squamosa,Species,A,17672:20171:
1364,transtagana,Species,A,17672:20171:
1365,triflora,Species,A,17672:20171:
1366,undulata,Species,A,17672:20171:
1482,cilicicus,Species,A,21389
1483,ikariae,Species,A,17665:20171:
1485,reginae-olgae,Species,A,17664:20171:
1626,paludosa,Species,A,8000:20171:
1991,loeselii,Species,A,8000:20171:
2219,aesculapii,Species,A,20171
2220,argolica,Species,A,17781:20171:
2221,cretica,Species,A,20171
2222,gottfriediana,Species,A,20171
2225,boryi,Species,A,20171
2533,sardoum,Species,A,8000:20171:
2533,sardoum,Species,A,8000:20171:
2899,romanzoffiana,Species,A,11495:20171:
2962,albisepta,Species,A,21415:21855:
2967,aridicola,Species,A,21415:21855:
2974,viridis,Species,A,21415:21855:
3025,hookeri,Species,A,21414
3686,ceratophora,Species,A,15105
3687,chrysantha,Species,A,20064
3689,fusca,Species,A,15105
3691,krainzii,Species,A,15105
3787,cyprium,Species,A,14230
3788,rohlfsianum,Species,A,15934
3808,foliosa,Species,A,
3893,troodi,Species,A,14230
3930,aphylla,Species,A,17672:21391:22181
3931,atropurpurea,Species,A,17672:21391:22181
3932,azorica,Species,A,10260:20171:
