"SpcRecID","Rank","GEO_entity","ISO Code 2","RefIDs"
107717,"Species","Country","DO",1
107717,"Species","Country","HT",1
173109,"Species","Country","ID",1
173110,"Species","Country","MY",1
173121,"Species","Country","FJ",1
173121,"Species","Country","SB",1
173121,"Species","Country","WS",1
173123,"Species","Country","MG",1
173138,"Species","Country","MG",1
173139,"Species","Country","MG",1
173145,"Species","Country","PG",1
173155,"Species","Country","JM",1
173157,"Species","Country","MG",1
173164,"Species","Country","AU",1
173167,"Species","Country","CU",1
173168,"Species","Country","MG",1
173170,"Species","Country","BR",1
173171,"Species","Country","CG",1
173178,"Species","Country","MG",1
173182,"Species","Country","ID",1
173192,"Species","Country","CG",1
173192,"Species","Country","MG",1
173192,"Species","Country","MU",1
173192,"Species","Territory","RE",1
173193,"Species","Territory","PR",1
173194,"Species","Country","ID",1
173194,"Species","Country","KH",1
173194,"Species","Country","MM",1
173194,"Species","Country","MY",1
173194,"Species","Country","TH",1
173195,"Species","Country","PG",1
173197,"Species","Country","AU",1
173215,"Species","Territory","PR",1
173237,"Species","Country","BR",1
173586,"Species","Country","PH",1
173642,"Species","Country","PG",1
173647,"Species","Country","BR",1
173667,"Species","Country","MU",1
173667,"Species","Territory","RE",1
173682,"Species","Country","BR",1
173712,"Species","Territory","NC",1
173717,"Species","Country","PG",1
173726,"Species","Country","PH",1
173739,"Species","Country","PG",1
173744,"Species","Country","NZ",1
173803,"Species","Country","BR",1
173831,"Species","Country","BR",1
173855,"Species","Country","ID",1
173872,"Species","Country","MG",1
173908,"Species","Country","PG",1
173914,"Species","Country","AU",1
173914,"Species","Country","NZ",1
176618,"Species","Country","BR",1
175730,"Species","Country","GY",10
8807,"Species","Country","NZ",86
88566,"Species","Country","EC",190
68326,"Species","Country","BR",440
178762,"Species","Country","BR",440
43100,"Species","Country","TH",725
41788,"Species","Territory","CX",881
41790,"Species","Territory","CX",881
41791,"Species","Territory","CX",881
18113,"Species","Country","CR",1037
15623,"Species","Country","MX",1058
15625,"Species","Country","MX",1058
15627,"Species","Country","MX",1058
15628,"Species","Country","MX",1058
15633,"Species","Country","MX",1058
15637,"Species","Country","MX",1058
15638,"Species","Country","MX",1058
15641,"Species","Country","MX",1058
15642,"Species","Country","MX",1058
15643,"Species","Country","MX",1058
15645,"Species","Country","MX",1058
15646,"Species","Country","MX",1058
15648,"Species","Country","MX",1058
15649,"Species","Country","MX",1058
15653,"Species","Country","MX",1058
15655,"Species","Country","MX",1058
15657,"Species","Country","MX",1058
15662,"Species","Country","MX",1058
15666,"Species","Country","MX",1058
15668,"Species","Country","MX",1058
15669,"Species","Country","MX",1058
15671,"Species","Country","MX",1058
15674,"Species","Country","MX",1058
15675,"Species","Country","MX",1058
15680,"Species","Country","MX",1058
15681,"Species","Country","MX",1058
15683,"Species","Country","MX",1058
15684,"Species","Country","MX",1058
15685,"Species","Country","MX",1058
15688,"Species","Country","MX",1058
15689,"Species","Country","MX",1058
15692,"Species","Country","MX",1058
15693,"Species","Country","MX",1058
15694,"Species","Country","MX",1058
15695,"Species","Country","MX",1058
15696,"Species","Country","MX",1058
15698,"Species","Country","MX",1058
15699,"Species","Country","MX",1058
15701,"Species","Country","MX",1058
15703,"Species","Country","MX",1058
15706,"Species","Country","MX",1058
15708,"Species","Country","MX",1058
15709,"Species","Country","MX",1058
15710,"Species","Country","MX",1058
15711,"Species","Country","MX",1058
15712,"Species","Country","MX",1058
15714,"Species","Country","MX",1058
15715,"Species","Country","MX",1058
15716,"Species","Country","MX",1058
15717,"Species","Country","MX",1058
15718,"Species","Country","MX",1058
15722,"Species","Country","MX",1058
15723,"Species","Country","MX",1058
15726,"Species","Country","MX",1058
15728,"Species","Country","MX",1058
15730,"Species","Country","MX",1058
15732,"Species","Country","MX",1058
15734,"Species","Country","MX",1058
15735,"Species","Country","MX",1058
15739,"Species","Country","MX",1058
15740,"Species","Country","MX",1058
15741,"Species","Country","MX",1058
15743,"Species","Country","MX",1058
15745,"Species","Country","MX",1058
15746,"Species","Country","MX",1058
15750,"Species","Country","MX",1058
15753,"Species","Country","MX",1058
15754,"Species","Country","MX",1058
15755,"Species","Country","MX",1058
15758,"Species","Country","MX",1058
15759,"Species","Country","MX",1058
15762,"Species","Country","MX",1058
15763,"Species","Country","MX",1058
15764,"Species","Country","MX",1058
15765,"Species","Country","MX",1058
15766,"Species","Country","MX",1058
15767,"Species","Country","MX",1058
15768,"Species","Country","MX",1058
15770,"Species","Country","MX",1058
15772,"Species","Country","MX",1058
15773,"Species","Country","MX",1058
15774,"Species","Country","MX",1058
15775,"Species","Country","MX",1058
15776,"Species","Country","MX",1058
15777,"Species","Country","MX",1058
15779,"Species","Country","MX",1058
15780,"Species","Country","MX",1058
15784,"Species","Country","MX",1058
15788,"Species","Country","MX",1058
15789,"Species","Country","MX",1058
15792,"Species","Country","MX",1058
15797,"Species","Country","MX",1058
15800,"Species","Country","MX",1058
30593,"Species","Country","MX",1058
30595,"Species","Country","MX",1058
61931,"Species","Country","MX",1192
61931,"Species","Country","US",1192
11675,"Species","Country","ID",1440
108899,"Species","Country","US",1440
176501,"Species","Country","BR",1440
176513,"Species","Country","BR",1440
11985,"Species","Country","CN",1442
54868,"Species","Country","PA",1747
54869,"Species","Country","PA",1747
54871,"Species","Country","PA",1747
54872,"Species","Country","PA",1747
175381,"Species","Country","BO",1974
175961,"Species","Country","CR",1987
176383,"Species","Country","CO",2033
1098,"Species","Country","CZ",2050
1626,"Species","Country","CZ",2050
1991,"Species","Country","CZ",2050
21430,"Species","Country","CZ",2050
31406,"Species","Country","CZ",2050
31412,"Species","Country","CZ",2050
47187,"Species","Country","CZ",2050
47331,"Species","Country","CZ",2050
47333,"Species","Country","CZ",2050
47334,"Species","Country","CZ",2050
47335,"Species","Country","CZ",2050
47336,"Species","Country","CZ",2050
47337,"Species","Country","CZ",2050
47338,"Species","Country","CZ",2050
47339,"Species","Country","CZ",2050
47341,"Species","Country","CZ",2050
51976,"Species","Country","CZ",2050
62524,"Species","Country","CZ",2050
62525,"Species","Country","CZ",2050
62526,"Species","Country","CZ",2050
62527,"Species","Country","CZ",2050
62617,"Species","Country","CZ",2050
63339,"Species","Country","CZ",2050
73556,"Species","Country","CZ",2050
75347,"Species","Country","CZ",2050
75348,"Species","Country","CZ",2050
75367,"Species","Country","CZ",2050
75502,"Species","Country","CZ",2050
75503,"Species","Country","CZ",2050
75504,"Species","Country","CZ",2050
76317,"Species","Country","CZ",2050
76443,"Species","Country","CZ",2050
76840,"Species","Country","CZ",2050
77090,"Species","Country","CZ",2050
77235,"Species","Country","CZ",2050
77401,"Species","Country","CZ",2050
77449,"Species","Country","CZ",2050
78569,"Species","Country","CZ",2050
78733,"Species","Country","CZ",2050
78735,"Species","Country","CZ",2050
78736,"Species","Country","CZ",2050
78739,"Species","Country","CZ",2050
79182,"Species","Country","CZ",2050
79355,"Species","Country","CZ",2050
104122,"Species","Country","CZ",2050
175035,"Species","Country","AU",2075
176664,"Subspecies","Territory","AS",2075
176668,"Species","Country","AU",2075
176164,"Species","Country","BO",2127
180489,"Species","Territory","TW",2142
120271,"Species","Country","UA",2144
183145,"Species","Country","MZ",2192
184409,"Species","Country","PG",2192
174398,"Species","Country","BO",2205
40773,"Species","Country","MY",2224
50514,"Species","Country","MY",2224
51413,"Species","Country","BR",2224
51413,"Species","Country","CU",2224
51413,"Species","Country","US",2224
99948,"Species","Country","PE",2224
100038,"Species","Country","CO",2224
175294,"Species","Country","BR",2224
175294,"Species","Country","PE",2224
175317,"Species","Country","PE",2224
177424,"Species","Country","EC",2224
187217,"Species","Country","PH",2224
187219,"Species","Country","IN",2224
187219,"Species","Country","LA",2224
187219,"Species","Country","MM",2224
187219,"Species","Country","TH",2224
187219,"Species","Country","VN",2224
187223,"Species","Country","IN",2224
187230,"Species","Country","ID",2224
187230,"Species","Country","IN",2224
187230,"Species","Country","KH",2224
187230,"Species","Country","LA",2224
187230,"Species","Country","MM",2224
187230,"Species","Country","MY",2224
187230,"Species","Country","TH",2224
187230,"Species","Country","VN",2224
187238,"Species","Country","CN",2224
187238,"Species","Country","LA",2224
187238,"Species","Country","MM",2224
187238,"Species","Country","TH",2224
187241,"Species","Country","KH",2224
187241,"Species","Country","LA",2224
187241,"Species","Country","MM",2224
187241,"Species","Country","TH",2224
187241,"Species","Country","VN",2224
187248,"Species","Country","ID",2224
187252,"Species","Country","MM",2224
187253,"Species","Country","MY",2224
187253,"Species","Country","TH",2224
187260,"Species","Country","PH",2224
187272,"Species","Country","IN",2224
187282,"Species","Country","PG",2224
187282,"Species","Country","PH",2224
187310,"Species","Country","BT",2224
187310,"Species","Country","CN",2224
187310,"Species","Country","IN",2224
187310,"Species","Country","LA",2224
187310,"Species","Country","MM",2224
187310,"Species","Country","TH",2224
187310,"Species","Country","VN",2224
187317,"Species","Country","MY",2224
187319,"Species","Country","ID",2224
187319,"Species","Country","PH",2224
187325,"Species","Country","ID",2224
187498,"Species","Country","MY",2224
187499,"Species","Country","ID",2224
187499,"Species","Country","MY",2224
187500,"Species","Country","IN",2224
187502,"Species","Country","BN",2224
187502,"Species","Country","ID",2224
187502,"Species","Country","MY",2224
187502,"Species","Country","PG",2224
187502,"Species","Country","PH",2224
187502,"Species","Country","SB",2224
187508,"Species","Country","BT",2224
187508,"Species","Country","CN",2224
187508,"Species","Country","IN",2224
187508,"Species","Country","LA",2224
187508,"Species","Country","MM",2224
187508,"Species","Country","TH",2224
187508,"Species","Country","VN",2224
187515,"Species","Country","ID",2224
187515,"Species","Country","PG",2224
187515,"Species","Country","SB",2224
187517,"Species","Country","ID",2224
187518,"Species","Country","PH",2224
187521,"Species","Country","ID",2224
187522,"Species","Country","ID",2224
187523,"Species","Country","MM",2224
187523,"Species","Country","VN",2224
187526,"Species","Country","BN",2224
187527,"Species","Country","ID",2224
187528,"Species","Country","ID",2224
187529,"Species","Country","CN",2224
187529,"Species","Country","LA",2224
187529,"Species","Country","MM",2224
187529,"Species","Country","TH",2224
187529,"Species","Country","VN",2224
187530,"Species","Country","ID",2224
187531,"Species","Country","PH",2224
187532,"Species","Country","ID",2224
187532,"Species","Country","PG",2224
187532,"Species","Country","SB",2224
187538,"Species","Country","ID",2224
187540,"Species","Country","MY",2224
187541,"Species","Country","ID",2224
187542,"Species","Country","PH",2224
187543,"Species","Country","ID",2224
187544,"Species","Country","ID",2224
187544,"Species","Country","MY",2224
187545,"Species","Country","ID",2224
187545,"Species","Country","MY",2224
187546,"Species","Country","ID",2224
187547,"Species","Country","PH",2224
187550,"Species","Country","ID",2224
