SpcRecID,Scientific name,Rank,Accepted RecID,Accepted rank,Status,RefRecIDs
168674,lobelii,SUBSPECIES,4,Species,S,21069
35762,chaetacantha,SPECIES,170,Species,S,21437
35763,polygona,SPECIES,170,Species,S,21437
35764,squamulosa,SPECIES,170,Species,S,21437
106710,chaetacantha,SPECIES,170,Species,S,21437
35765,polygona,SUBSPECIES,170,Species,S,21437
118742,borealis,SPECIES,607,Species,S,20171
141356,comperana,SPECIES,981,Species,S,20171
141357,taurica,SPECIES,981,Species,S,20171
178293,alternifolius,SPECIES,1098,Species,S,21440
178294,boreale,SPECIES,1098,Species,S,21440
178295,atsmori,SPECIES,1098,Species,S,21440
178296,cruriatum,SPECIES,1098,Species,S,21440
178298,ferrugineum,SPECIES,1098,Species,S,21440
178299,marianus,SPECIES,1098,Species,S,21440
178303,marianus,SPECIES,1098,Species,S,21440
178304,microsaccos,SPECIES,1098,Species,S,21440
30091,persistens,SPECIES,1340,Species,S,17672:21391:22181
82654,triflora,SUBSPECIES,1365,Species,S,13662
34216,snogerupii,SUBSPECIES,1483,Species,S,21389
74551,paludosa,SPECIES,1626,Species,S,14352:20171:
118493,loeselii,SPECIES,1991,Species,S,20171
124399,loeselii,SPECIES,1991,Species,S,20171
139295,argolica,SUBSPECIES,2220,Species,S,20171
128368,gemmipara,SPECIES,2899,Species,S,20171
110996,krainzii,SUBSPECIES,3691,Species,S,20064
18149,neapolitanum,SPECIES,3787,Species,S,21389
32173,aphylla,SPECIES,3930,Species,S,21391
32501,aphyllus,SPECIES,3930,Species,S,21391
20929,beaumieriana,SPECIES,3949,Species,S,21391:22181:
22149,beaumieriana,SUBSPECIES,3949,Species,S,21391:22181:
32672,piscatorius,SPECIES,3951,Species,S,21391
126805,pectus,SPECIES,4442,Species,S,20171
127580,micrantha,SPECIES,4542,Species,S,20171
27479,brevifolia,SPECIES,5148,Species,S,21482
179136,minax,SPECIES,5329,Species,S,21442
5342,stenoglossa,SPECIES,5343,Species,S,20604
33379,marumii,SPECIES,5360,Species,S,21488
33380,regalis,SPECIES,5360,Species,S,21488
33407,vroomi,SPECIES,5360,Species,S,21488
33628,altensteinii,SPECIES,5360,Species,S,21488
33993,caffra,SPECIES,5362,Species,S,21488
33994,caffra,SPECIES,5362,Species,S,21488
33995,brachyphyllus,SPECIES,5362,Species,S,21488
33999,cycadis,SPECIES,5362,Species,S,21488
34000,elliptica,SPECIES,5362,Species,S,21488
34001,crassifolia,SPECIES,5362,Species,S,21488
33463,acanthus,SPECIES,5364,Species,S,21488
33509,eximius,SPECIES,5364,Species,S,21488
33584,verschaffelti,SPECIES,5364,Species,S,21488
33591,cycadifolius,SPECIES,5364,Species,S,21488
33604,villosa,SPECIES,5364,Species,S,21488
34002,friderici-guilielmi,SPECIES,5367,Species,S,21488
33642,vanhallii,SPECIES,5370,Species,S,21488
33673,aurea,SPECIES,5370,Species,S,21488
33676,horrida,SPECIES,5370,Species,S,21488
33716,tricuspidata,SPECIES,5370,Species,S,21488
20753,nanus,SPECIES,5370,Species,S,
33867,spinulosus,SPECIES,5377,Species,S,21488
33875,mauritianus,SPECIES,5378,Species,S,21488
33876,lanuginosa,SPECIES,5378,Species,S,21488
33877,longifolia,SPECIES,5378,Species,S,21488
20751,lanuginosus,SPECIES,5378,Species,S,
29009,decipiens,SPECIES,6212,Species,S,21853
34425,neglectus,SPECIES,6212,Species,S,21853
34426,neglecta,SPECIES,6212,Species,S,21853
34427,discolor,SPECIES,6212,Species,S,21853
34428,discolor,SPECIES,6212,Species,S,21853
34429,leptostachys,SPECIES,6212,Species,S,21853
34430,leptostachya,SPECIES,6212,Species,S,21853
34431,junghuhnianus,SPECIES,6212,Species,S,21853
34432,endlicherianus,SPECIES,6212,Species,S,21853
34433,endlicheriana,SPECIES,6212,Species,S,21853
34441,neriifolia,SPECIES,6212,Species,S,21853
34442,neriifolia,SPECIES,6212,Species,S,21853
185029,lugardii,SPECIES,7428,Subspecies,S,22194:20064:
34498,coahuilense,SPECIES,7493,Species,S,21437
34499,columnare,SPECIES,7493,Species,S,21437
34502,tulense,SPECIES,7493,Species,S,21437
34500,potosinum,SUBSPECIES,7493,Species,S,21437
34501,tulense,SUBSPECIES,7493,Species,S,21437
27433,valida,SPECIES,7511,Species,S,21437
27460,kruegeri,SUBSPECIES,7519,Species,S,21437
34863,reyesii,SUBSPECIES,7519,Species,S,21437
34903,subterraneus,SPECIES,7535,Species,S,21437
35767,rostii,SPECIES,7600,Species,S,21437
25721,acanthodes,SPECIES,7600,Species,S,8058:21437:
107378,catingicola,SPECIES,7704,Species,S,21437
37071,catingicola,SUBSPECIES,7704,Species,S,21437
108071,chrysocarpa,SPECIES,7706,Species,S,21437
179976,puniceodiscus,SPECIES,7706,Species,S,21437
179929,campos-portoana,SPECIES,7722,Species,S,21437
173153,atropurpurea,SPECIES,7837,Species,S,22052:22075:
174183,atropurpurea,SPECIES,7837,Species,S,22052:22075:
173644,caudata,SPECIES,7864,Species,S,22052
173432,brevipes,SPECIES,7864,Species,S,22052:22075:
173562,dupaxiensis,SPECIES,7864,Species,S,22052:22075:
173746,manilensis,SPECIES,7864,Species,S,22052:22075:
