Scientific name,Rank,RecID,ParentRank,ParentRecID,Status,Species Author,notes,Designation
CYATHEACEAE,Family,1,Order,1,A,Kaulf.,,CITES_EU
THYMELAEACEAE,Family,2,Order,2,A,Juss.,,CITES_EU
CACTACEAE,Family,3,Order,3,A,Juss.,,CITES_EU
ORCHIDACEAE,Family,4,Order,4,A,Juss.,,CITES_EU
MAGNOLIACEAE,Family,5,Order,5,A,Juss.,,CITES_EU
LILIACEAE,Family,6,Order,6,A,Juss.,,CITES_EU
AMARYLLIDACEAE,Family,7,Order,6,A,J. St-Hil.,,CITES_EU
NEPENTHACEAE,Family,8,Order,7,A,Bercht. & J. Presl.,,CITES_EU
ARACEAE,Family,9,Order,8,A,Juss.,,CITES_EU
EUPHORBIACEAE,Family,10,Order,9,A,Juss.,,CITES_EU
APOCYNACEAE,Family,11,Order,10,A,Juss.,,CITES_EU
SARRACENIACEAE,Family,12,Order,7,A,Dumort.,,CITES_EU
ZAMIACEAE,Family,13,Order,11,A,Horan.,,CITES_EU
CYCADACEAE,Family,14,Order,11,A,Pers.,,CITES_EU
ASCLEPIADACEAE,Family,15,Order,10,A,Medikus ex Borkh.,,CITES_EU
PINACEAE,Family,16,Order,12,A,Sprengel ex Rudolphi.,,CITES_EU
PASSIFLORACEAE,Family,17,Order,13,A,Juss. ex DC.,,CITES_EU
RANUNCULACEAE,Family,18,Order,14,A,Juss.,,CITES_EU
LEGUMINOSAE,Family,19,Order,15,A,Juss.,,CITES_EU
AGAVACEAE,Family,20,Order,6,A,Dumort.,,CITES_EU
DIDIEREACEAE,Family,21,Order,3,A,Radlk.,,CITES_EU
PORTULACACEAE,Family,22,Order,3,A,Juss.,,CITES_EU
LAURACEAE,Family,23,Order,16,A,Juss.,,CITES_EU
HAEMODORACEAE,Family,24,Order,6,A,R. Br.,,CITES_EU
ARAUCARIACEAE,Family,25,Order,12,A,Henkel & Hochst.,,CITES_EU
ERICACEAE,Family,26,Order,17,A,Juss.,,CITES_EU
PALMAE,Family,27,Order,18,A,Juss.,,CITES_EU
COMPOSITAE,Family,28,Order,19,A,Giseke,,CITES_EU
CHLORANTHACEAE,Family,29,Order,20,A,R.Br. ex Sims.,,CITES_EU
ASTERACEAE,Family,30,Order,19,A,Martinov,,CITES_EU
RUBIACEAE,Family,31,Order,21,A,Juss.,,CITES_EU
PROTEACEAE,Family,32,Order,22,A,Juss.,,CITES_EU
MORACEAE,Family,33,Order,23,A,Link.,,CITES_EU
RUTACEAE,Family,34,Order,24,A,Juss.,,CITES_EU
STANGERIACEAE,Family,35,Order,11,A,L. Johnson,,CITES_EU
ZYGOPHYLLACEAE,Family,36,Order,24,A,R.Br.,,CITES_EU
BYBLIDACEAE,Family,37,Order,25,A,(Engl. & Gilg) Domin,,CITES_EU
DICKSONIACEAE,Family,38,Order,26,A,(C. Presl) Bower,,CITES_EU
THEACEAE,Family,39,Order,27,A,Mirbel ex Ker-Gawler,,CITES_EU
CARYOCARACEAE,Family,40,Order,27,A,Voigt.,,CITES_EU
VERBENACEAE,Family,41,Order,28,A,J. St-Hil.,,CITES_EU
MELIACEAE,Family,42,Order,24,A,Juss.,,CITES_EU
ULMACEAE,Family,43,Order,23,A,Mirbel.,,CITES_EU
CEPHALOTACEAE,Family,44,Order,25,A,Dumort.,,CITES_EU
PARMELIACEAE,Family,45,Order,29,A,,,CITES_EU
OROBANCHACEAE,Family,46,Order,30,A,Vent. ,,CITES_EU
PRIMULACEAE,Family,47,Order,31,A,Batsch ex Borkh.,,CITES_EU
VITACEAE,Family,48,Order,32,A,Juss.,,CITES_EU
DROSERACEAE,Family,49,Order,7,A,Salisb.,,CITES_EU
DIOSCOREACEAE,Family,50,Order,6,A,R.Br.,,CITES_EU
EBENACEAE,Family,51,Order,33,A,Guerke.,,CITES_EU
CRASSULACEAE,Family,52,Order,25,A,J. St-Hil.,,CITES_EU
JUGLANDACEAE,Family,53,Order,34,A,DC ex Perleb.,,CITES_EU
CUPRESSACEAE,Family,54,Order,12,A,Gray.,,CITES_EU
FOUQUIERIACEAE,Family,55,Order,13,A,DC.,,CITES_EU
GENTIANACEAE,Family,56,Order,10,A,Juss.,,CITES_EU
GNETACEAE,Family,57,Order,12,A,Blume,,CITES_EU
CARYOPHYLLACEAE,Family,58,Order,3,A,Juss.,,CITES_EU
PEDALIACEAE,Family,59,Order,30,A,R.Br.,,CITES_EU
ZINGIBERACEAE,Family,60,Order,35,A,Martinov ,,CITES_EU
AQUIFOLIACEAE,Family,61,Order,36,A,A. Rich.,,CITES_EU
MELASTOMATACEAE,Family,62,Order,2,A,Juss.,,CITES_EU
LYCOPODIACEAE,Family,63,Order,37,A,Pal. ex Mirbel.,,CITES_EU
PAPAVERACEAE,Family,64,Order,38,A,Juss.,,CITES_EU
MENYANTHACEAE,Family,65,Order,39,A,Bercht. & Presl.,,CITES_EU
VALERIANACEAE,Family,66,Order,40,A,Batsch.,,CITES_EU
ANACARDIACEAE,Family,67,Order,24,A,Lindley,,CITES_EU
ARALIACEAE,Family,68,Order,41,A,Juss.,,CITES_EU
SCROPHULARIACEAE,Family,69,Order,30,A,Juss.,,CITES_EU
PODOCARPACEAE,Family,70,Order,12,A,Endl.,,CITES_EU
BERBERIDACEAE,Family,71,Order,14,A,Juss.,,CITES_EU
ROSACEAE,Family,72,Order,25,A,Juss.,,CITES_EU
STERCULIACEAE,Family,73,Order,42,A,DC.,,CITES_EU
FAGACEAE,Family,74,Order,43,A,Dumort.,,CITES_EU
GROSSULARIACEAE,Family,75,Order,25,A,DC.,,CITES_EU
SELAGINELLACEAE,Family,76,Order,44,A,Willk.,,CITES_EU
DIAPENSIACEAE,Family,77,Order,45,A,Lindley,,CITES_EU
SOLANACEAE,Family,78,Order,39,A,Juss.,,CITES_EU
TAXACEAE,Family,79,Order,12,A,Gray.,,CITES_EU
TROCHODENDRACEAE,Family,80,Order,46,A,Prantl.,,CITES_EU
BROMELIACEAE,Family,81,Order,47,A,Juss.,,CITES_EU
TRILLIACEAE,Family,82,Order,48,A,Chevall. ,,CITES_EU
