Kingdom,RecId,Rank,ISO code,Quota,Unit,StartDate,EndDate,Year,Notes,Terms,Sources,QuoAdded,QuoDate,IsCurrent,PublicDisplay,Link
Animalia,105259,Species,TZ,3000,,01/01/1997,31/12/1997,1997,Quota originally established for Bradypodion fischeri which was subject to a taxonomic change at CITES CoP15.,,,22/06/2010,,0,0,
Animalia,22967,Species,SN,10000,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,22966,Species,MZ,10000,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,22966,Species,SN,8000,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,22963,Species,MZ,15000,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,22963,Species,SN,20000,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,22896,Species,ID,432000,,01/01/1997,31/12/1997,1997,Species subject to taxonomic changes at CITES CoP15 (see: www.cites.org/eng/res/all/12/E12-11R15.pdf). ,,,09/05/1999,,0,1,
Animalia,22895,Species,ID,720,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,22894,Species,ID,2250,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,22889,Species,ID,1350,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,22887,Species,BJ,18800,,01/01/1997,31/12/1997,1997,ranched specimens,,R,09/05/1999,,0,1,
Animalia,22887,Species,CM,70000,,01/01/1997,31/12/1997,1997,skins only,SKI,,09/05/1999,,0,1,
Animalia,22887,Species,ML,180000,,01/01/1997,31/12/1997,1997,skins,SKI,,09/05/1999,,0,1,
Animalia,22887,Species,MZ,3000,,01/01/1997,31/12/1997,1997,skins/live,"LIV, SKI",,09/05/1999,,0,1,
Animalia,22887,Species,S1,100000,,01/01/1997,31/12/1997,1997,skins,SKI,,09/05/1999,,0,1,
Animalia,22887,Species,TD,80000,,01/01/1997,31/12/1997,1997,skins,SKI,,09/05/1999,,0,1,
Animalia,22887,Species,TG,7000,,01/01/1997,31/12/1997,1997,ranched,,R,09/05/1999,,0,1,
Animalia,22887,Species,TG,3000,,01/01/1997,31/12/1997,1997,wild-taken,,W,09/05/1999,,0,1,
Animalia,22887,Species,TZ,3000,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,22882,Species,ID,900,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,22880,Species,ID,1350,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,22871,Species,BJ,19500,,01/01/1997,31/12/1997,1997,ranched specimens,,R,09/05/1999,,0,1,
Animalia,22871,Species,MZ,3000,,01/01/1997,31/12/1997,1997,skins/live,"LIV, SKI",,09/05/1999,,0,1,
Animalia,22871,Species,TG,8000,,01/01/1997,31/12/1997,1997,ranched,,R,09/05/1999,,0,1,
Animalia,22871,Species,TG,3000,,01/01/1997,31/12/1997,1997,wild-taken,,W,09/05/1999,,0,1,
Animalia,22869,Species,ID,1800,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,22863,Species,ID,1350,,01/01/1997,31/12/1997,1997,Quota originally established for <i/>Varanus prasinus beccarii</i>  which was subject to a taxonomic change at CITES CoP15.,,,09/05/1999,,0,1,
Animalia,22861,Species,TZ,1000,,01/01/1997,31/12/1997,1997,,,,09/05/1999,,0,1,
Animalia,22820,Species,RO,15000,KIL,01/01/1997,31/12/1997,1997,carcasses & meat,MEA,,09/05/1999,,0,1,
Animalia,22820,Species,RO,150,,01/01/1997,31/12/1997,1997,hunting trophies,TRO,,09/05/1999,,0,1,
