cites_taxon_code,species_plus_id,accepted_id
2322.7,32515,7164
3606,30431,2600
3556.5,30114,730
3430,30503,1991
1310,30142,797
3390,29765,2481
3612,29695,2075
1532,30177,2202
2389.2,29948,1940
2405,30350,1759
690.2,30172,2387
3303,29929,1486
3539,30499,757
1512,30018,2316
3542,29879,1526
574.5,30209,1779
3501,30007,1829
3514.68,30235,2184
3431,29766,1765
2322,30353,1870
2123,30472,1554
1938,30253,973
1092,30468,1615
3392,30032,2481
6656,29727,13363
3292.5,30425,1306
3308.5,29870,1647
5038,39316,12686
4904,39586,13300
4875,39267,13491
4730,39528,13127
4112,39381,13681
4587,39418,12799
4913,39503,12590
4441,39236,12491
4423,39226,13038
4325,39523,12491
4560,39414,12491
4127,39266,13085
4837,39444,13216
4163,39671,12668
4237,39565,12491
4881,39488,13216
4411,39448,12768
4897,39628,12791
4413,39396,13491
4738,39389,13545
4878,39392,12594
4766,39376,13491
4631,39388,13085
4383,39377,12668
4755,39440,13216
4553,39294,13038
4476,39342,13085
4183,39246,13216
4363,39473,13085
4851,39233,12635
4427,39330,12491
4318,39460,12590
4834,39402,12491
4111,39567,12893
4106,39304,13127
4817,39373,13038
4758,39243,12491
4632,39621,13681
4402,39564,13216
4836,39669,13216
4412,39286,12905
4108,39329,13013
4134,39300,12893
4257,39666,13410
4819,39570,13491
4550,39622,12893
4420,39667,13491
4129,39536,12791
4582,39556,12491
4401,39327,13091
4317,39551,12635
4764,39608,12893
4289,39349,13023
4393,39310,12491
4141,39317,12491
4802,39340,13214
4139,39374,12491
4649,39547,12491
4821,39525,13629
4125,39394,12491
4155,39400,13145
4473,39574,12491
4593,39475,12491
4634,39643,13300
4327,39593,12491
4292,39258,13013
4474,39618,13038
4316,39649,12843
4864,39447,13085
4751.12,39256,13085
4208,39270,13085
4835,39557,12768
4596,39663,13491
4838,39582,13410
4589,39299,12908
4854,39409,12491
4892,39534,12594
4754,39507,12594
4906,39277,12491
4583,39350,12492
4133,39231,12491
4595,39362,12804
4615,39408,13491
4406,39616,13681
4561,39343,12791
4552,39617,12587
4202,39512,13410
4364,39183,12491
4113,39265,12491
4470,39464,12893
4326,39463,13300
4105,39494,13216
4221,39635,13085
4240,39502,13085
4239,39358,12929
6893,39446,12509
5904,39490,13014
5466,39228,13623
6437,39655,13346
5419,39441,12509
5920,39326,39326
6344,39589,39589
5526,39568,13382
6358,39422,13663
5512,39354,12823
5736,39595,39595
6898,39204,13099
6992,39282,13561
6600,39627,13569
6231,39347,12854
6863,39344,13363
6374,39262,13623
6262,39206,12678
5921,39668,13176
6885,39297,12877
5543.7,39338,12854
6079.8,39403,13382
5839,39569,12509
6569.94,39615,13569
7253,39324,13068
7240,39319,13060
6018,39438,12567
6389,39596,13400
1311.5,35341,8933
865.05,30754,12217
4064.1,43096,13142
4063.9,52550,13142
4063.3,52551,13142
4060.5,46558,13142
4860.8,44990,18601
4645.8,45666,19474
6112,39242,12509
6901,39298,12719
4432,39406,12929
7305,39416,12851
4425,39504,13410
4591,39531,13164
