TAXON_FAMILY,TERM_CODE
Accipitridae,CLA
Accipitridae,SKI
Accipitridae,EGG
Accipitridae,SKE
Accipitridae,FEA
Accipitridae,BOD
Acipenseridae,BOD
Acipenseridae,EGL
Acipenseridae,SWI
Acipenseridae,EXT
Acipenseridae,MEA
Acipenseridae,EGG
Acroporidae,COR
Acroporidae,CAR
Agariciidae,COR
Agariciidae,CAR
Agavaceae,DPL
Agavaceae,SEE
Agavaceae,ROO
Alligatoridae,WAL
Alligatoridae,TRO
Alligatoridae,TIS
Alligatoridae,TEE
Alligatoridae,TAI
Alligatoridae,SKU
Alligatoridae,SKS
Alligatoridae,SKP
Alligatoridae,SKE
Alligatoridae,SHO
Alligatoridae,OIL
Alligatoridae,MEA
Alligatoridae,LEA
Alligatoridae,HEA
Alligatoridae,HAN
Alligatoridae,FOO
Alligatoridae,EGG
Alligatoridae,CLA
Alligatoridae,BPR
Alligatoridae,CAR
Alligatoridae,BOP
Alligatoridae,BON
Alligatoridae,BOD
Alligatoridae,LPL
Alligatoridae,LPS
Alligatoridae,GAR
Alligatoridae,SKI
Alligatoridae,SKO
Alligatoridae,BEL
Alligatoridae,WAT
Amaryllidaceae,DPL
Amaryllidaceae,SEE
Amaryllidaceae,ROO
Anatidae,FEA
Anatidae,MEA
Anatidae,EGG
Anatidae,SKI
Anatidae,SKU
Anatidae,BOD
Anthemiphylliidae,COR
Anthemiphylliidae,CAR
Antipathidae,CAR
Antipathidae,COR
Apocynaceae,DPL
Apocynaceae,SEE
Apocynaceae,ROO
Araceae,DPL
Araceae,SEE
Araceae,ROO
Araliaceae,DPL
Araliaceae,SEE
Araliaceae,ROO
Araucariaceae,DPL
Araucariaceae,SEE
Araucariaceae,ROO
Ardeidae,BOD
Asclepiadaceae,DPL
Asclepiadaceae,SEE
Asclepiadaceae,ROO
Astrangiidae,COR
Astrangiidae,CAR
Astrocoeniidae,COR
Astrocoeniidae,CAR
Atrichornithidae,BOD
Balaenicipitidae,BOD
Boidae,SKP
Boidae,SKS
Boidae,SKO
Boidae,WAL
Boidae,GAR
Boidae,SKI
Boidae,CAR
Boidae,BEL
Boidae,WAT
Boidae,HAN
Boidae,LPS
Boidae,LPL
Boidae,SHO
Boidae,BOD
Boidae,MEA
Bolyeriidae,SKP
Bolyeriidae,SKI
Bolyeriidae,HAN
Bolyeriidae,SKO
Bolyeriidae,WAL
Bolyeriidae,BEL
Bolyeriidae,LPL
Bolyeriidae,LPS
Bolyeriidae,WAT
Bolyeriidae,MEA
Bolyeriidae,BOD
Bolyeriidae,GAR
Bolyeriidae,SHO
Bolyeriidae,CAR
Bolyeriidae,SKS
Bovidae,HOP
Bovidae,BON
Bovidae,BOD
Bovidae,SKI
Bovidae,SKU
Bovidae,SKP
Bovidae,TRO
Bovidae,HOR
Bromeliaceae,DPL
Bromeliaceae,SEE
Bromeliaceae,ROO
Bucerotidae,BON
Bucerotidae,SKU
Bucerotidae,HOC
Bucerotidae,CAR
Bucerotidae,BOD
Burhinidae,BOD
Byblidaceae,DPL
Byblidaceae,SEE
Byblidaceae,ROO
Cactaceae,TIP
Cactaceae,TIM
Cactaceae,CAR
Cactaceae,PIE
Cactaceae,CUL
Cactaceae,FRU
Cactaceae,DPL
Cactaceae,SEE
Cactaceae,ROO
Camelidae,LPS
Canidae,LPS
Canidae,TEE
Canidae,TAI
Canidae,SKO
Canidae,SKI
Canidae,BOD
Canidae,GAR
Capitonidae,BOD
Caryocaraceae,DPL
Caryocaraceae,SEE
Caryocaraceae,ROO
Caryophyllaceae,DPL
Caryophyllaceae,SEE
Caryophyllaceae,ROO
Caryophylliidae,COR
Caryophylliidae,CAR
Cathartidae,BOD
Cebidae,SKE
Cebidae,BON
Cephalotaceae,DPL
Cephalotaceae,SEE
Cephalotaceae,ROO
Cercopithecidae,TRO
Cercopithecidae,TAI
Cercopithecidae,SKP
Cercopithecidae,SKU
Cercopithecidae,SKE
Cercopithecidae,BON
Cervidae,HOR
Cetorhinidae,CAR
Chamaeleonidae,BOD
Cheirogaleidae,SKE
Cheirogaleidae,BON
Chelidae,SHE
Cheloniidae,CAP
Cheloniidae,BOP
Cheloniidae,CAR
Cheloniidae,TIS
Cheloniidae,CAL
Cheloniidae,BON
Chloanthaceae,DPL
Chloanthaceae,SEE
Chloanthaceae,ROO
Ciconiidae,BOD
Columbidae,EGG
Columbidae,BOD
Compositae,DPL
Compositae,SEE
Compositae,ROO
Gerrhosauridae,BOD
Cotingidae,BOD
Cracidae,BOD
Crassulaceae,DPL
Crassulaceae,SEE
Crassulaceae,ROO
Crocodylidae,FOO
Crocodylidae,WAL
Crocodylidae,TRO
Crocodylidae,TIS
Crocodylidae,TEE
Crocodylidae,TAI
Crocodylidae,SKU
Crocodylidae,SKS
Crocodylidae,SKP
Crocodylidae,SKE
Crocodylidae,SHO
Crocodylidae,OIL
Crocodylidae,MEA
Crocodylidae,LEA
Crocodylidae,HEA
Crocodylidae,HAN
Crocodylidae,EGG
Crocodylidae,CLA
Crocodylidae,BPR
Crocodylidae,CAR
Crocodylidae,BOP
Crocodylidae,BON
Crocodylidae,BOD
Crocodylidae,WAT
Crocodylidae,BEL
Crocodylidae,GAR
Crocodylidae,SKI
Crocodylidae,SKO
Crocodylidae,LPS
Crocodylidae,LPL
Cupressaceae,DPL
Cupressaceae,SEE
Cupressaceae,ROO
Cyatheaceae,LVS
Cyatheaceae,SAW
Cyatheaceae,TIM
Cyatheaceae,TIP
Cyatheaceae,FIB
