Term_code,English_Term_Name,French_Term_name,Spanish_Term_Name
BEL,belts,ceintures,cinturones
BOC,bone carvings,sculptures en os,tallas de hueso
BOD,bodies,corps,cuerpo
BON,bones,os,hueso
BOP,bone pieces,morceau – os,trozo-hueso
BPR,bone products,articles en os,productos de hueso
CAP,carapaces,carapace,caparazón
CAL,calipee,calipée,calipe
CAR,carvings,sculpture,talla
BAR,bark,écorce,corteza
CHP,chips,copeau,astillas
CLA,claws,griffe,garra
CLO,cloth,tissu,tela
COR,raw corals,corail (brut),coral (en bruto)
CST,chess sets,jeux d'échecs,tablados de ajedrez
CUL,cultures,culture,cultivos
DER,derivatives,produit,derivados
DPL,dried plants,plante séchée,planta seca
EAR,ears,oreille,oreja
EGG,eggs,oeuf,huevo
COS,coral sand,corail (sable),arena de coral
EGL,eggs (live),oeuf (vivant),huevo (vivo)
EXT,extract,extrait,extracto
FEA,feathers,plume,pluma
FIB,fibres,fibre,fibra
FLO,flowers,fleur,flor
FOO,feet,pied,pata
FPT,flower pots,pot à fleurs,maceta
FRA,spectacle frames,montures de lunettes,monturas de gafas
FRN,items of furniture,meubles,muebles
FRU,fruit,fruit,frutos
GAR,garments,vêtement,prenda
GRS,graft rootstocks,porte-greffe,rizoma injertado
HAI,hair,poil,pelo
HAN,handbags,sacs à main,bolsos
HOC,horn carvings,sculptures en corne,tallas de cuerno
HOP,horn pieces,morceau – corne,trozo-cuerno
HOR,horns,corne,cuerno
HOS,horn scraps,restes de corne,trozos de cuerno
GAL,gall,bile,bilis
GAB,gall bladders,vésicule biliaire,vesícula biliar
HEA,heads,têtes,cabezas
GEN,genitalia,organe génital,genitales
HAP,hair products,articles en poil,productos de pelo
HPR,horn products,articles en corne,productos de cuerno
IVC,ivory carvings,sculptures en ivoire,tallas de marfil
IVP,ivory pieces,morceau – ivoire,trozo-marfil
IVS,ivory scraps,restes d'ivoire,trozos de marfil
LEA,leather,cuir,cuero
LEG,legs,cuisses de grenouilles,ancas de rana
LIV,live,vivant,vivo
LVS,leaves,feuille,hoja
MEA,meat,viande,carne
LPL,leather products (large),article en cuir (grand),artículo de cuero (grande)
LPS,leather products (small),article en cuir (petit),artículo de cuero (pequeño)
LOG,logs,grume,troza
SAW,sawn wood,bois sciés,madera aserrada
MUS,musk,musc,almizcle
OIL,oil,huile,aceite
OTH,other,autre,otros
PIE,pieces,pièces,piezas
PKY,sets of piano keys,sets de touches de piano,sets de teclas de piano
PLA,plates,nappe,napa
ROO,roots,racine,raíz
SCA,scales,écaille,escama
QUI,quills,piquants,plumas
POW,powder,poudre,polvo
PEA,pearls,perles,perlas
SCR,scraps,restes,trozos
SEE,seeds,graine,semilla
SHE,shells,coquille d'oeuf / coquille,cáscaras de hueros/concha
SHO,pairs of shoes,chaussures,zapatos
SKE,skeletons,squelette,esqueleto
SKI,skins,peau,piel
SKO,leather items,articles de peau/en cuir,artículos de piel/cuero
SKP,skin pieces,morceau de peau,trozo-piel
SKS,skin scraps,restes de peau,residuos de piel
BAL,baleen,fanon,barbas
SKU,skulls,crâne,cráneo
SOU,soup,soupe,sopa
SPE,specimens,spécimen scientifique,espécimen (científico)
MED,medicine,médicament,medicina
STE,stems,tige,tallo
TAI,tails,queue,cola
TEE,teeth,dent,diente
TIC,timber carvings,sculptures en bois,tallas de madera
TIM,timber,bois,madera
TIP,timber pieces,pièces de bois,piezas de madera
SWI,swim bladders,vessie natatoire,vejiga natatoria
TIS,tissue cultures,cultures de tissus,cultivos de tejido
TRO,trophies,trophée,trofeo
TUS,tusks,défense,colmillo
UNS,unspecified,non précisé,sin especificar
WAL,wallets,porte-monnaies,carteras
WAT,watchstraps,bracelets de montre,correas de reloj
WAX,wax,cire,cera
WOO,wood products,articles en bois,productos de madera
VEN,veneer,placages dédossé/tranché,chapas cortadas/desenrolladas
VNM,venom,venin,veneno
FIG,fingerlings,juvénile,jaramugos
PLY,plywood,bois contre-plaqués,madera contrachapada
FIN,fins,aileron,aleta
SKD,sides,flanc,flanco
SID,sides,flanc,flanco
CAV,caviar,caviar,caviar
