TERM_CODE,PURPOSE_CODE
BAL,M
BAR,G
BOD,M
BOD,Z
BON,M
COR,Z
CUL,N
CUL,B
DER,M
DER,G
DER,Z
DPL,G
EGG,M
EGG,Z
EGL,B
EGL,N
EGL,Z
EXT,M
FEA,Z
HAI,M
HOR,M
GRS,N
GRS,B
LIV,G
LIV,M
LIV,B
LIV,Z
LVS,G
MED,M
MUS,M
OTH,M
LIV,N
ROO,N
ROO,B
ROO,G
ROO,M
SCA,M
SEE,B
SEE,G
SEE,N
SKE,M
SKE,Z
SKI,M
SKI,Z
SKS,M
SKU,Z
SPE,N
SPE,B
SPE,G
SPE,M
SPE,Z
TEE,M
TEE,Z
TUS,Z
VNM,M
BAL,T
BAR,T
BEL,T
BOC,T
BOD,T
BON,T
BOP,T
BPR,T
CAL,T
CAP,T
CAR,T
CAV,T
CHP,T
CLA,T
CLO,T
COR,T
COS,T
CST,T
CUL,T
DER,T
DPL,T
EAR,T
EGG,T
EGL,T
EXT,T
FEA,T
FIB,T
FIG,T
FIN,T
FLO,T
FOO,T
FPT,T
FRA,T
FRN,T
FRU,T
GAB,T
GAL,T
GAR,T
GEN,T
GRS,T
HAI,T
HAN,T
HAP,T
HEA,T
HOC,T
HOP,T
HOR,T
HOS,T
HPR,T
IVC,T
IVP,T
IVS,T
LEA,T
LEG,T
LIV,T
LOG,T
LPL,T
LPS,T
LVS,T
MEA,T
MED,T
MUS,T
OIL,T
OTH,T
PEA,T
PIE,T
PLA,T
PLY,T
POW,T
QUI,T
ROO,T
SAW,T
SCA,T
SCR,T
SEE,T
SHE,T
SHO,T
SID,T
SKE,T
SKI,T
SKO,T
SKP,T
SKS,T
SKU,T
SOU,T
SPE,T
STE,T
SWI,T
TAI,T
TEE,T
TIC,T
TIM,T
TIP,T
TIS,T
TRO,T
TUS,T
VEN,T
VNM,T
WAL,T
WAT,T
WAX,T
WOO,T
UNS,M
UNS,G
UNS,B
UNS,N
UNS,Z
UNS,T
CUL,G
FLO,G
FPT,G
FRU,G
STE,G
BAL,Q
BAR,Q
BEL,Q
BOC,Q
BOD,Q
BON,Q
BOP,Q
BPR,Q
CAL,Q
CAP,Q
CAR,Q
CAV,Q
CHP,Q
CLA,Q
CLO,Q
COR,Q
COS,Q
CST,Q
CUL,Q
DER,Q
DPL,Q
EAR,Q
EGG,Q
EGL,Q
EXT,Q
FEA,Q
FIB,Q
FIG,Q
FIN,Q
FLO,Q
FOO,Q
FPT,Q
FRA,Q
FRN,Q
FRU,Q
GAB,Q
GAL,Q
GAR,Q
GEN,Q
GRS,Q
HAI,Q
HAN,Q
HAP,Q
HEA,Q
HOC,Q
HOP,Q
HOR,Q
HOS,Q
HPR,Q
IVC,Q
IVP,Q
IVS,Q
LEA,Q
LEG,Q
LIV,Q
LOG,Q
LPL,Q
LPS,Q
LVS,Q
MEA,Q
MED,Q
MUS,Q
OIL,Q
OTH,Q
PEA,Q
PIE,Q
PLA,Q
PLY,Q
POW,Q
QUI,Q
ROO,Q
SAW,Q
SCA,Q
SCR,Q
SEE,Q
SHE,Q
SHO,Q
SID,Q
SKE,Q
SKI,Q
SKO,Q
SKP,Q
SKS,Q
SKU,Q
SOU,Q
SPE,Q
STE,Q
SWI,Q
TAI,Q
TEE,Q
TIC,Q
TIM,Q
