TERM_CODE,UNIT_CODE
BAL,
BAL,GRM
BAL,KIL
BAL,MGM
BAL,MYG
BAR,
BAR,MYG
BAR,MGM
BAR,GRM
BAR,KIL
BEL,
BOC,
BOC,GRM
BOC,KIL
BOD,
BOD,MGM
BOD,MYG
BOD,GRM
BOD,KIL
BON,
BON,MYG
BON,MGM
BON,GRM
BON,KIL
BOP,
BOP,GRM
BOP,KIL
BPR,
BPR,KIL
CAL,
CAL,GRM
CAL,MYG
CAL,MGM
CAL,KIL
CAP,MGM
CAP,MYG
CAP,GRM
CAP,KIL
CAP,
CAR,CUM
CAR,GRM
CAR,MGM
CAR,MYG
CAR,CCM
CAR,KIL
CAR,
CAV,GRM
CAV,KIL
CAV,MYG
CAV,MGM
CAV,
CHP,
CHP,MYG
CHP,MGM
CHP,GRM
CHP,KIL
CLA,KIL
CLA,GRM
CLA,MGM
CLA,MYG
CLA,
CLO,
CLO,MYG
CLO,MGM
CLO,GRM
CLO,KIL
CLO,SQC
CLO,SQM
COR,MYG
COR,MGM
COR,GRM
COR,KIL
COR,
COS,KIL
COS,
CST,
CUL,
DER,
DER,CCM
DER,SQM
DER,SQC
DER,CUM
DER,GRM
DER,KIL
DER,LTR
DER,MYG
DER,MGM
DER,MLT
DER,MTR
DPL,MYG
DPL,MGM
DPL,GRM
DPL,KIL
DPL,
EAR,MYG
EAR,MGM
EAR,GRM
EAR,KIL
EAR,
EGG,
EGG,MGM
EGG,MYG
EGG,GRM
EGG,KIL
EGL,MYG
EGL,MGM
EGL,GRM
EGL,KIL
EGL,
EXT,
EXT,GRM
EXT,KIL
EXT,LTR
EXT,MYG
EXT,MGM
EXT,MLT
FEA,MYG
FEA,MGM
FEA,GRM
FEA,KIL
FEA,
FIB,
FIB,CTM
FIB,MTR
FIB,MGM
FIB,MYG
FIB,GRM
FIB,KIL
FIG,MYG
FIG,MGM
FIG,GRM
FIG,KIL
FIG,
FIN,
FIN,MGM
FIN,MYG
FIN,GRM
FIN,KIL
FLO,MYG
FLO,MGM
FLO,GRM
FLO,KIL
FLO,
FOO,KIL
FOO,
FPT,
FRA,
FRN,
FRN,CUM
FRN,KIL
FRU,MYG
FRU,MGM
FRU,GRM
FRU,KIL
FRU,
GAB,
GAB,MGM
GAB,MYG
GAB,GRM
GAB,KIL
GAL,
GAL,MYG
GAL,MGM
GAL,LTR
GAL,GRM
GAL,KIL
GAL,MLT
GAR,GRM
GAR,KIL
GAR,SQM
GAR,
GEN,MYG
GEN,MGM
GEN,GRM
GEN,KIL
GEN,
GRS,
HAI,
HAI,GRM
HAI,KIL
HAI,MGM
HAI,MYG
HAN,GRM
HAN,KIL
HAN,
HAP,
HAP,GRM
HAP,KIL
HEA,
HOC,
HOC,KIL
HOP,GRM
HOP,KIL
HOP,
HOR,
HOR,MYG
HOR,MGM
HOR,GRM
HOR,KIL
HOS,
HPR,
HPR,KIL
IVC,GRM
IVC,KIL
IVC,
IVP,
IVP,GRM
IVP,KIL
IVS,GRM
IVS,KIL
IVS,
LEA,
LEA,GRM
LEA,KIL
LEA,SQC
LEA,SQM
LEG,MYG
LEG,MGM
LEG,GRM
LEG,KIL
LEG,
LIV,
LIV,MYG
LIV,MGM
LIV,GRM
LIV,KIL
LOG,SQC
LOG,SQM
LOG,CUM
LOG,KIL
LOG,
LPL,
LPL,GRM
LPL,KIL
LPL,SQC
LPL,SQM
LPS,GRM
LPS,KIL
LPS,SQC
LPS,SQM
LPS,
LVS,MGM
LVS,MYG
LVS,GRM
LVS,KIL
LVS,
MEA,
MEA,MYG
MEA,MGM
MEA,GRM
MEA,KIL
MED,GRM
MED,KIL
MED,MGM
MED,MYG
MED,LTR
MED,MLT
MED,
MUS,
MUS,MYG
MUS,MGM
MUS,GRM
MUS,KIL
OIL,GRM
OIL,KIL
OIL,MYG
OIL,MGM
OIL,LTR
OIL,MLT
OIL,
OTH,
PEA,
PEA,GRM
PEA,KIL
PIE,GRM
PIE,KIL
PIE,
PKY,
PLA,
PLA,KIL
PLA,SQC
PLA,SQM
PLY,CUM
PLY,KIL
PLY,GRM
PLY,SQC
PLY,CCM
PLY,SQM
PLY,
POW,GRM
POW,MYG
POW,KIL
POW,LTR
POW,MGM
POW,MLT
POW,
QUI,
ROO,GRM
ROO,KIL
ROO,MGM
ROO,MYG
ROO,
SAW,
SAW,CUM
SAW,CCM
SAW,GRM
SAW,KIL
SAW,SQM
SCA,MYG
SCA,MGM
SCA,GRM
SCA,KIL
SCA,
SCR,
SEE,MYG
SEE,MGM
SEE,GRM
SEE,KIL
SEE,
SHE,
SHE,MYG
SHE,MGM
SHE,GRM
SHE,KIL
SHO,
SID,GRM
SID,KIL
SID,SQM
SID,
SKD,
SKE,GRM
SKE,KIL
SKE,
SKI,GRM
SKI,KIL
SKI,MGM
SKI,MYG
SKI,SQM
SKI,
SKO,
SKO,GRM
SKO,KIL
SKO,MTR
SKO,SQM
SKP,GRM
SKP,KIL
SKP,MGM
SKP,MYG
SKP,SQC
SKP,SQM
SKP,
SKS,GRM
SKS,KIL
SKS,SQM
SKS,
SKU,GRM
SKU,KIL
SKU,
SOU,GRM
SOU,KIL
SOU,LTR
SOU,MLT
SOU,
SPE,
SPE,CCM
SPE,CUM
SPE,GRM
SPE,KIL
SPE,LTR
SPE,MGM
SPE,MLT
SPE,MYG
SPE,SQC
SPE,SQM
STE,MYG
STE,MGM
STE,GRM
STE,KIL
STE,MTR
STE,
SWI,GRM
SWI,KIL
SWI,
TAI,
TAI,MGM
TAI,MYG
TAI,GRM
TAI,KIL
TEE,MGM
TEE,MYG
TEE,GRM
TEE,KIL
TEE,
TIC,
TIM,CCM
TIM,CUM
TIM,MGM
TIM,MYG
TIM,GRM
TIM,KIL
TIM,SQM
TIM,
TIP,CUM
TIP,GRM
TIP,KIL
TIP,
TIS,KIL
TIS,
TRO,
TRO,KIL
TUS,
TUS,MGM
TUS,MYG
TUS,GRM
TUS,KIL
UNS,MTR
UNS,CCM
UNS,MYG
UNS,MGM
UNS,SQC
UNS,CTM
UNS,GRM
UNS,KIL
UNS,LTR
UNS,SQM
UNS,
VEN,
VEN,CCM
VEN,CUM
VEN,MGM
VEN,MYG
VEN,GRM
VEN,KIL
VEN,SQC
VEN,SQM
VNM,GRM
VNM,LTR
VNM,MGM
VNM,MLT
VNM,
WAL,
WAT,
WAX,GRM
WAX,KIL
WAX,LTR
WAX,MGM
WAX,MYG
WAX,MLT
WAX,
WOO,
WOO,CUM
WOO,GRM
WOO,KIL
BOC,CUM
BOC,MYG
BOC,KIL
BOC,GRM
BOC,MGM
BOC,CCM
BOC,
HOC,CUM
HOC,MYG
HOC,KIL
HOC,GRM
HOC,MGM
HOC,CCM
HOC,
IVC,CUM
IVC,MYG
IVC,KIL
IVC,GRM
IVC,MGM
IVC,CCM
IVC,
FPL,SQC
FPL,SQM
FPL,KIL
FPL,GRM
FPL,
FPS,SQC
FPS,SQM
FPS,KIL
FPS,GRM
FPS,
GIL,SQC
GIL,SQM
GIL,KIL
GIL,GRM
HAP,SQC
HAP,SQM
HAP,KIL
HAP,GRM
HAP,MGM
HAP,MYG
HAP,
JWL,CUM
JWL,MYG
JWL,KIL
JWL,GRM
JWL,MGM
JWL,CCM
JWL,
IJW,CUM
IJW,MYG
IJW,KIL
IJW,GRM
IJW,MGM
IJW,CCM
IJW,
PRL,MYG
PRL,KIL
PRL,GRM
PRL,MGM
PRL,
KEY,KIL
KEY,GRM
KEY,
PUP,MYG
PUP,KIL
PUP,GRM
PUP,MGM
PUP,
RUG,SQC
