cites_trade_name,legacy_cites_ID,valid_name_species_plus_id,valid_name,trade_name_rank,name_status
Coenothecalia,3810,118,Helioporacea,GENUS,T
Pholidota bicuspidata,6882.2,141,Pholidota,SPECIES,T
Lithophyllon edwardsi,3311.07,710,Lithophyllon,SPECIES,T
Montipora acutata,3266.05,725,Montipora,SPECIES,T
Montipora alveopora,3266.15,725,Montipora,SPECIES,T
Montipora aspera,3266.3,725,Montipora,SPECIES,T
Montipora dilatata,3267.45,725,Montipora,SPECIES,T
Montipora exserta,3267.94,725,Montipora,SPECIES,T
Montipora papillosa,3269.3,725,Montipora,SPECIES,T
Montipora perforata,3269.43,725,Montipora,SPECIES,T
Montipora rigida,3269.61,725,Montipora,SPECIES,T
Montipora scabricula,3269.64,725,Montipora,SPECIES,T
Montipora sinuosa,3269.66,725,Montipora,SPECIES,T
Montipora astriata,3266.4,725,Montipora,SPECIES,T
Acanthastrea simplex,3460.8,953,Acanthastrea,SPECIES,T
Physogyra astraeiformis,3550.05,1086,Physogyra,SPECIES,T
Arborophila orientalis,1323.25,1203,Arborophila,SPECIES,T
Pocillopora clavaria,3242.45,1243,Pocillopora,SPECIES,T
Pocillopora informis,3242.95,1243,Pocillopora,SPECIES,T
Pocillopora solida,3243.2,1243,Pocillopora,SPECIES,T
Pavona acuticarinata,3287.05,1249,Pavona,SPECIES,T
Pavona minor,3288.25,1249,Pavona,SPECIES,T
Euphyllia picteti,3524.7,1256,Euphyllia,SPECIES,T
Euphyllia kabiraensis,3524.6,1256,Euphyllia,SPECIES,T
Psammocora haimiana,3293.6,1306,Psammocora,SPECIES,T
Notophyllia variolaris,3615.1,1590,Notophyllia,SPECIES,T
Chamaeleo marshalli,2286.9,1639,Chamaeleo,SPECIES,T
Stylophora compressa,3245.02,1732,Stylophora,SPECIES,T
Symphyllia simplex,3472.35,1817,Symphyllia,SPECIES,T
Cirrhipathes grandis,3203.616,1835,Cirrhipathes,SPECIES,T
Seriatopora spinosa,3244.4,1838,Seriatopora,SPECIES,T
Ornithoptera akakeae,2803.2,1861,Ornithoptera,SPECIES,T
Galaxea lauensis,3434.4,2041,Galaxea,SPECIES,T
Turbinaria mantonae,3621.65,2062,Turbinaria,SPECIES,T
Turbinaria marmorea,3621.67,2062,Turbinaria,SPECIES,T
Turbinaria mollis,3621.73,2062,Turbinaria,SPECIES,T
Turbinaria parvistella,3621.77,2062,Turbinaria,SPECIES,T
Turbinaria sinensis,3622.16,2062,Turbinaria,SPECIES,T
Turbinaria speciosa,3622.18,2062,Turbinaria,SPECIES,T
Stylaster rossoamericanus,3739.1,2077,Stylaster,SPECIES,T
Porites bernardi,3343.33,2167,Porites,SPECIES,T
Porites limosa,3344.05,2167,Porites,SPECIES,T
Porites portoricensis,3344.93,2167,Porites,SPECIES,T
Porites thurstoni,3345.36,2167,Porites,SPECIES,T
Brachypelma mesomelas,2901.05,2197,Brachypelma,SPECIES,T
Acropora appressa,3250.55,2293,Acropora,SPECIES,T
Acropora attenuata,3250.75,2293,Acropora,SPECIES,T
Acropora demani,3252.75,2293,Acropora,SPECIES,T
Acropora gonagra,3254.75,2293,Acropora,SPECIES,T
Acropora implicata,3255.8,2293,Acropora,SPECIES,T
Acropora indica,3255.9,2293,Acropora,SPECIES,T
Acropora pumila,3259.55,2293,Acropora,SPECIES,T
Acropora rodriguensis,3260.03,2293,Acropora,SPECIES,T
Acropora studeri,3261.4,2293,Acropora,SPECIES,T
Acropora effluens,3253.55,2293,Acropora,SPECIES,T
Acropora sanguinolenta,3260.3,2293,Acropora,SPECIES,T
Ciconia ciconia,1110.1,2338,Ciconia,SPECIES,T
Cyphastrea nodulosa,3360.5,2374,Cyphastrea,SPECIES,T
Coelastrea,3358,2493,Goniastrea,GENUS,T
Goniopora arbuscula,3341.03,2495,Goniopora,SPECIES,T
Goniopora granulosa,3341.45,2495,Goniopora,SPECIES,T
Goniopora reptans,3342.05,2495,Goniopora,SPECIES,T
